#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2016 05 01 00 00  88  6.4  7.5 99.00 99.00 99.00 999 1015.4  25.8  26.3  22.6 99.0 99.00 
2016 05 01 00 10  88  6.3  7.5 99.00 99.00 99.00 999 1015.3  25.8  26.3  22.7 99.0 99.00 
2016 05 01 00 20  84  5.9  7.4 99.00 99.00 99.00 999 1015.4  25.8  26.3  22.8 99.0 99.00 
2016 05 01 00 30  82  6.0  7.7 99.00 99.00 99.00 999 1015.5  25.9  26.3  22.9 99.0 99.00 
2016 05 01 00 40  83  5.9  7.3 99.00 99.00 99.00 999 1015.7  25.9  26.3  22.9 99.0 99.00 
2016 05 01 00 50  79  6.2  7.6  1.07  9.09  4.80  80 1015.9  26.0  26.3  22.9 99.0 99.00 
2016 05 01 01 00  82  6.2  7.9 99.00 99.00 99.00 999 1015.9  26.0  26.3  23.0 99.0 99.00 
2016 05 01 01 10  79  6.4  7.3 99.00 99.00 99.00 999 1016.1  26.0  26.3  22.9 99.0 99.00 
2016 05 01 01 20  81  6.3  7.7 99.00 99.00 99.00 999 1016.2  26.0  26.2  23.0 99.0 99.00 
2016 05 01 01 30  83  6.6  7.8 99.00 99.00 99.00 999 1016.3  26.1  26.2  22.8 99.0 99.00 
2016 05 01 01 40  86  6.6  8.0 99.00 99.00 99.00 999 1016.3  26.1  26.2  22.9 99.0 99.00 
2016 05 01 01 50  88  6.3  7.6  0.99  9.09  4.41  74 1016.4  26.1  26.2  22.6 99.0 99.00 
2016 05 01 02 00  88  6.1  7.7 99.00 99.00 99.00 999 1016.6  26.2  26.2  22.5 99.0 99.00 
2016 05 01 02 10  83  6.2  7.8 99.00 99.00 99.00 999 1016.8  26.1  26.2  22.7 99.0 99.00 
2016 05 01 02 20  87  6.4  7.9 99.00 99.00 99.00 999 1016.6  26.1  26.2  22.4 99.0 99.00 
2016 05 01 02 30  90  6.6  7.9 99.00 99.00 99.00 999 1016.6  26.1  26.2  22.2 99.0 99.00 
2016 05 01 02 40  89  6.2  7.9 99.00 99.00 99.00 999 1016.6  26.1  26.2  22.3 99.0 99.00 
2016 05 01 02 50  87  6.1  7.6  1.05  9.09  4.48  82 1016.5  26.1  26.2  22.2 99.0 99.00 
2016 05 01 03 00  87  6.3  7.6 99.00 99.00 99.00 999 1016.6  26.1  26.2  22.1 99.0 99.00 
2016 05 01 03 10  92  5.8  7.0 99.00 99.00 99.00 999 1016.6  26.0  26.2  22.5 99.0 99.00 
2016 05 01 03 20  92  5.5  6.9 99.00 99.00 99.00 999 1016.7  26.0  26.2  22.4 99.0 99.00 
2016 05 01 03 30  89  5.5  6.7 99.00 99.00 99.00 999 1016.5  26.0  26.2  22.3 99.0 99.00 
2016 05 01 03 40  89  5.4  6.6 99.00 99.00 99.00 999 1016.5  26.0  26.2  22.4 99.0 99.00 
2016 05 01 03 50  91  5.6  6.8  1.10  8.33  4.67  83 1016.5  25.9  26.2  22.8 99.0 99.00 
2016 05 01 04 00  89  5.8  6.9 99.00 99.00 99.00 999 1016.5  25.9  26.2  22.9 99.0 99.00 
2016 05 01 04 10  87  5.8  7.1 99.00 99.00 99.00 999 1016.4  25.9  26.2  22.9 99.0 99.00 
2016 05 01 04 20  93  6.4  8.0 99.00 99.00 99.00 999 1016.3  25.9  26.2  22.6 99.0 99.00 
2016 05 01 04 30  97  6.5  8.0 99.00 99.00 99.00 999 1016.3  25.9  26.2  22.7 99.0 99.00 
2016 05 01 04 40  94  6.4  7.7 99.00 99.00 99.00 999 1016.2  25.8  26.1  22.6 99.0 99.00 
2016 05 01 04 50  94  6.5  7.7  1.00  9.09  4.45  73 1016.1  25.8  26.1  22.5 99.0 99.00 
2016 05 01 05 00  89  7.0  8.2 99.00 99.00 99.00 999 1016.1  25.8  26.1  22.2 99.0 99.00 
2016 05 01 05 10  92  6.2  7.5 99.00 99.00 99.00 999 1016.0  25.8  26.1  22.2 99.0 99.00 
2016 05 01 05 20  93  5.7  7.3 99.00 99.00 99.00 999 1015.9  25.8  26.1  22.4 99.0 99.00 
2016 05 01 05 30  93  5.3  6.3 99.00 99.00 99.00 999 1015.9  25.7  26.1  22.3 99.0 99.00 
2016 05 01 05 40  95  5.6  6.6 99.00 99.00 99.00 999 1015.9  25.7  26.1  22.2 99.0 99.00 
2016 05 01 05 50 101  5.7  7.1  1.03  8.33  4.54  83 1015.9  25.7  26.1  22.2 99.0 99.00 
2016 05 01 06 00  90  5.4  6.7 99.00 99.00 99.00 999 1015.8  25.7  26.1  22.1 99.0 99.00 
2016 05 01 06 10  94  5.0  6.1 99.00 99.00 99.00 999 1015.7  25.7  26.1  22.3 99.0 99.00 
2016 05 01 06 20 102  5.3  6.3 99.00 99.00 99.00 999 1015.8  25.7  26.1  22.4 99.0 99.00 
2016 05 01 06 30 100  5.4  6.3 99.00 99.00 99.00 999 1015.8  25.6  26.1  22.1 99.0 99.00 
2016 05 01 06 40  99  5.3  6.4 99.00 99.00 99.00 999 1015.7  25.6  26.1  22.0 99.0 99.00 
2016 05 01 06 50  97  4.9  5.9  1.05  8.33  4.51  76 1015.6  25.6  26.1  22.0 99.0 99.00 
2016 05 01 07 00  93  5.0  6.0 99.00 99.00 99.00 999 1015.6  25.6  26.1  21.9 99.0 99.00 
2016 05 01 07 10  93  5.2  6.2 99.00 99.00 99.00 999 1015.6  25.6  26.1  21.6 99.0 99.00 
2016 05 01 07 20  91  5.0  6.1 99.00 99.00 99.00 999 1015.6  25.6  26.1  21.8 99.0 99.00 
2016 05 01 07 30  92  5.0  6.0 99.00 99.00 99.00 999 1015.4  25.6  26.1  21.7 99.0 99.00 
2016 05 01 07 40  93  5.3  6.6 99.00 99.00 99.00 999 1015.7  25.6  26.1  21.7 99.0 99.00 
2016 05 01 07 50  95  5.4  6.6  1.08  9.09  4.63  85 1015.5  25.6  26.1  21.7 99.0 99.00 
2016 05 01 08 00  97  5.2  6.2 99.00 99.00 99.00 999 1015.6  25.6  26.1  21.9 99.0 99.00 
2016 05 01 08 10  94  5.4  6.3 99.00 99.00 99.00 999 1015.5  25.5  26.1  21.9 99.0 99.00 
2016 05 01 08 20  88  5.4  6.9 99.00 99.00 99.00 999 1015.6  25.5  26.1  22.0 99.0 99.00 
2016 05 01 08 30  81  4.8  5.9 99.00 99.00 99.00 999 1015.7  25.4  26.1  21.9 99.0 99.00 
2016 05 01 08 40  77  4.6  5.8 99.00 99.00 99.00 999 1015.8  25.5  26.1  22.1 99.0 99.00 
2016 05 01 08 50  86  5.0  6.0  1.03  9.09  4.78  83 1015.7  25.5  26.1  22.2 99.0 99.00 
2016 05 01 09 00  86  5.2  6.7 99.00 99.00 99.00 999 1015.8  25.5  26.1  21.9 99.0 99.00 
2016 05 01 09 10  81  5.2  6.3 99.00 99.00 99.00 999 1015.9  25.5  26.1  21.6 99.0 99.00 
2016 05 01 09 20  68  5.2  6.3 99.00 99.00 99.00 999 1015.9  25.6  26.1  21.6 99.0 99.00 
2016 05 01 09 30  68  5.2  6.4 99.00 99.00 99.00 999 1016.0  25.6  26.1  21.8 99.0 99.00 
2016 05 01 09 40  59  5.0  6.3 99.00 99.00 99.00 999 1016.2  25.6  26.1  21.9 99.0 99.00 
2016 05 01 09 50  58  4.9  6.4  1.02  9.09  4.84  81 1016.2  25.5  26.1  21.9 99.0 99.00 
2016 05 01 10 00  62  5.3  6.4 99.00 99.00 99.00 999 1016.4  25.5  26.1  21.7 99.0 99.00 
2016 05 01 10 10  60  5.4  6.6 99.00 99.00 99.00 999 1016.4  25.6  26.1  21.9 99.0 99.00 
2016 05 01 10 20  62  5.7  7.0 99.00 99.00 99.00 999 1016.4  25.6  26.1  21.9 99.0 99.00 
2016 05 01 10 30  65  6.1  7.3 99.00 99.00 99.00 999 1016.5  25.6  26.0  22.0 99.0 99.00 
2016 05 01 10 40  61  6.2  7.4 99.00 99.00 99.00 999 1016.6  25.6  26.0  22.0 99.0 99.00 
2016 05 01 10 50  63  6.2  7.5  1.05  7.69  4.71  82 1016.7  25.7  26.0  22.0 99.0 99.00 
