#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2016 06 01 00 00 113  4.9  6.5 99.00 99.00 99.00 999 1016.9  23.5  27.2  23.0 99.0 99.00 
2016 06 01 00 10 132  5.7  7.4 99.00 99.00 99.00 999 1017.3  23.5  27.2  22.8 99.0 99.00 
2016 06 01 00 20 148  4.7  6.6 99.00 99.00 99.00 999 1017.3  23.3  27.2  22.6 99.0 99.00 
2016 06 01 00 30 141  4.1  5.9 99.00 99.00 99.00 999 1017.4  23.3  27.2  22.9 99.0 99.00 
2016 06 01 00 40 147  5.3  6.5  1.59  7.14  5.65 100 1017.6  23.3  27.2  22.8 99.0 99.00 
2016 06 01 00 50 145  5.0  6.6 99.00 99.00 99.00 999 1017.7  23.2  27.2  22.4 99.0 99.00 
2016 06 01 01 00 143  4.8  6.3 99.00 99.00 99.00 999 1017.9  23.0  27.2  22.0 99.0 99.00 
2016 06 01 01 10 144  5.5  6.9 99.00 99.00 99.00 999 1018.0  22.9  27.1  21.8 99.0 99.00 
2016 06 01 01 20 138  5.0  6.5 99.00 99.00 99.00 999 1018.1  22.7  27.1  21.7 99.0 99.00 
2016 06 01 01 30 133  4.1  5.5 99.00 99.00 99.00 999 1018.2  22.7  27.1  21.5 99.0 99.00 
2016 06 01 01 40 145  4.9  6.7  1.67  7.69  5.90  99 1018.2  22.8  27.1  21.8 99.0 99.00 
2016 06 01 01 50 148  6.1  7.7 99.00 99.00 99.00 999 1018.1  23.0  27.1  22.3 99.0 99.00 
2016 06 01 02 00 159  6.6  8.1 99.00 99.00 99.00 999 1018.2  23.1  27.1  22.2 99.0 99.00 
2016 06 01 02 10 160  5.8  7.4 99.00 99.00 99.00 999 1018.2  23.1  27.1  21.9 99.0 99.00 
2016 06 01 02 20 144  6.4  8.3 99.00 99.00 99.00 999 1018.2  23.3  27.1  22.3 99.0 99.00 
2016 06 01 02 30 140  6.2  7.6 99.00 99.00 99.00 999 1018.1  23.3  27.1  22.0 99.0 99.00 
2016 06 01 02 40 139  5.4  7.1  1.47  7.69  5.46  99 1018.1  23.4  27.1  21.9 99.0 99.00 
2016 06 01 02 50 135  5.3  6.8 99.00 99.00 99.00 999 1017.9  23.5  27.1  22.0 99.0 99.00 
2016 06 01 03 00 129  5.6  7.0 99.00 99.00 99.00 999 1017.7  23.5  27.1  22.0 99.0 99.00 
