#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2016 03 31 23 50  90  8.8 10.3  2.34  8.33  5.93 100 1017.9  25.9  26.2  21.6 99.0 99.00
2016 04 01 01 50  85 10.5 12.3  2.23  7.14  5.73  93 1018.2  25.8  26.2  21.5 99.0 99.00
2016 04 01 02 50  89 10.2 11.9  2.39  8.33  6.08  83 1017.7  25.8  26.2  21.5 99.0 99.00
2016 04 01 03 50  86  9.6 11.9  2.47  8.33  6.06  91 1017.2  25.8  26.2  21.4 99.0 99.00
2016 04 01 04 50  76  9.1 10.9  2.51  8.33  6.04  85 1016.8  25.7  26.2  21.8 99.0 99.00
2016 04 01 05 50  80  9.5 11.0  2.41  8.33  5.98  93 1016.0  25.7  26.2  21.7 99.0 99.00
2016 04 01 06 50  77 10.1 12.3  2.19  8.33  5.62 101 1016.2  25.7  26.2  21.4 99.0 99.00
2016 04 01 07 50  74  9.6 11.6  2.25  7.69  5.68  84 1016.5  25.7  26.2  21.2 99.0 99.00
2016 04 01 08 50  75 10.5 12.1  2.43  7.69  6.01  91 1016.6  25.8  26.2  21.0 99.0 99.00
2016 04 01 09 50  78 10.1 11.7  2.32  9.09  5.84  94 1016.9  25.7  26.2  21.0 99.0 99.00
2016 04 01 10 50  81  8.6 10.1  2.44  8.33  6.09  81 1017.9  25.9  26.2  20.9 99.0 99.00
2016 04 01 11 50  81  8.9 11.4  2.42  8.33  6.32 103 1018.4  25.5  26.2  21.6 99.0 99.00
2016 04 01 12 50  81  9.2 10.8  2.49  7.69  6.31  94 1018.6  25.8  26.2  21.6 99.0 99.00
2016 04 01 13 50  84  9.7 11.5  2.34  8.33  6.15  93 1018.1  26.1  26.2  21.2 99.0 99.00
2016 04 01 14 50  84  9.4 10.9  2.51  7.69  5.96 100 1017.7  26.0  26.3  21.2 99.0 99.00
2016 04 01 15 50  83  9.5 11.1  2.56  8.33  6.28  91 1016.9  26.0  26.3  21.1 99.0 99.00
2016 04 01 16 50  86  8.0  9.5  2.37  8.33  6.07  96 1016.3  25.9  26.3  21.4 99.0 99.00
2016 04 01 17 50  83  9.1 10.9  2.50  8.33  5.93 102 1015.6  25.8  26.3  21.6 99.0 99.00
2016 04 01 18 50  73  8.7 10.4  2.26  8.33  5.94  89 1015.4  25.4  26.3  21.5 99.0 99.00
2016 04 01 19 50  82  8.8 10.5  2.42  8.33  5.96  96 1015.2  25.9  26.3  21.4 99.0 99.00
2016 04 01 20 50  80  9.4 11.0  2.45  8.33  6.19  98 1015.1  25.8  26.3  21.2 99.0 99.00
2016 04 01 21 50  74  9.4 11.1  2.44  8.33  6.05  93 1015.7  25.7  26.2  20.8 99.0 99.00
2016 04 01 22 50  75  9.1 10.6  2.40  8.33  6.04  89 1016.3  25.7  26.2  20.7 99.0 99.00
2016 04 01 23 50  75  8.7 10.3  2.43  9.09  6.18  86 1016.9  25.7  26.3  20.2 99.0 99.00
2016 04 02 00 50  79  7.9  9.6  2.48  7.69  6.24  94 1017.3  25.7  26.3  20.5 99.0 99.00
2016 04 02 01 50  84  9.1 10.8  2.30  8.33  6.19 100 1016.9  25.7  26.3  20.1 99.0 99.00
2016 04 02 02 50  83  8.7 10.5  2.39  9.09  6.26  89 1016.6  25.6  26.3  20.2 99.0 99.00
2016 04 02 03 50  82  8.9 10.5  2.31  9.09  6.16  84 1016.2  25.6  26.3  19.5 99.0 99.00
2016 04 02 04 50  82  8.3  9.7  2.47  9.09  6.28  89 1015.6  25.5  26.3  19.6 99.0 99.00
2016 04 02 05 50  94  7.7  9.4  2.45  9.09  6.63  95 1014.7  25.4  26.3  19.7 99.0 99.00
2016 04 02 06 50  87  6.9  8.5  2.52  8.33  6.46  80 1014.5  25.4  26.3  19.9 99.0 99.00
2016 04 02 07 50  81  6.5  8.0  2.37  9.09  6.68  94 1014.4  25.3  26.2  19.7 99.0 99.00
2016 04 02 08 50  85  6.2  7.4  2.18  9.09  6.38  83 1014.8  25.4  26.2  20.2 99.0 99.00
2016 04 02 09 50  76  5.3  6.8  2.29  9.09  6.77  94 1015.3  25.3  26.2  20.5 99.0 99.00
2016 04 02 10 50  96  6.8  7.9  2.31  9.09  6.97  88 1015.7  25.6  26.2  20.3 99.0 99.00
2016 04 02 11 50  97  6.3  7.3  2.28  9.09  7.16  84 1016.1  25.8  26.3  20.4 99.0 99.00
2016 04 02 12 50  72  8.5 10.7  2.28  8.33  6.81  84 1016.1  24.4  26.3  21.4 99.0 99.00
