#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2016 01 31 23 50  67  8.2  9.8  2.08  9.09  6.37  80 1016.5  25.8  26.3  21.1 99.0 99.00
2016 02 01 00 50  62  8.1 10.0  2.13  9.09  6.49  66 1016.6  25.8  26.3  20.7 99.0 99.00
2016 02 01 01 50  77  7.8  9.8  2.13  8.33  6.27  78 1016.7  25.8  26.3  20.9 99.0 99.00
2016 02 01 02 50  65  6.8  8.4  2.14  9.09  6.28  58 1016.6  25.6  26.3  21.0 99.0 99.00
2016 02 01 03 50  66  9.0 10.3  2.21  9.09  6.25  73 1015.9  25.5  26.3  21.2 99.0 99.00
2016 02 01 04 50  68  8.9 10.7  1.95 10.00  5.94  74 1015.5  25.6  26.3  20.4 99.0 99.00
2016 02 01 05 50  82  7.8  9.1  2.06  9.09  5.94  63 1015.0  25.4  26.3  20.4 99.0 99.00
2016 02 01 06 50  82  7.6  9.2  2.25 10.00  6.24  63 1014.6  25.4  26.3  20.8 99.0 99.00
2016 02 01 07 50  77  8.5 10.0  2.32  9.09  6.57  68 1014.5  25.4  26.2  20.8 99.0 99.00
2016 02 01 08 50  78  9.2 11.4  2.39  9.09  6.43  70 1014.9  25.3  26.2  21.2 99.0 99.00
2016 02 01 09 50  76  9.3 11.5  2.05  9.09  6.03  71 1015.5  25.2  26.2  20.0 99.0 99.00
2016 02 01 10 50  48  8.0  9.7  2.15  9.09  6.23  73 1016.4  24.9  26.2  19.9 99.0 99.00
2016 02 01 11 50  67  5.6  7.4  2.14  9.09  6.02  59 1017.2  24.2  26.2  19.6 99.0 99.00
2016 02 01 12 50 115  8.8 11.7  2.30  9.09  6.38  72 1017.8  22.4  26.2  19.8 99.0 99.00
2016 02 01 13 50  82  6.4  9.8  2.27  9.09  6.56  77 1017.4  25.2  26.2  19.8 99.0 99.00
2016 02 01 14 50 105  7.5  9.9  1.92  9.09  5.89  74 1016.9  24.5  26.2  20.0 99.0 99.00
2016 02 01 15 50 104  5.7  9.0  2.01  9.09  6.28  67 1016.2  25.2  26.3  21.1 99.0 99.00
2016 02 01 16 50  87  7.3  9.1  2.31  9.09  6.47  77 1015.0  25.7  26.3  21.1 99.0 99.00
2016 02 01 17 50  93  7.3  8.7  2.26  9.09  6.21  90 1014.1  25.7  26.3  20.8 99.0 99.00
2016 02 01 18 50  89  6.8  8.1  2.39  9.09  6.48  77 1013.9  25.9  26.4  20.7 99.0 99.00
2016 02 01 19 50  90  6.3  7.7  2.21 10.00  6.23  60 1014.1  25.9  26.4  20.9 99.0 99.00
2016 02 01 20 50  89  6.2  7.3  2.29 10.00  6.26  62 1014.6  25.9  26.3  20.9 99.0 99.00
2016 02 01 21 50  79  5.9  7.2  2.11 10.00  6.23  68 1014.9  25.9  26.3  20.9 99.0 99.00
2016 02 01 22 50  84  6.7  7.9  2.16  9.09  6.40  75 1015.1  25.8  26.3  21.0 99.0 99.00
2016 02 01 23 50  80  6.9  8.4  2.13  9.09  6.38  75 1015.4  25.7  26.3  21.2 99.0 99.00
2016 02 02 00 50  84  7.3  8.7  2.16  9.09  6.51  74 1015.8  25.7  26.2  21.4 99.0 99.00
2016 02 02 01 50  88  6.7  7.9  2.22 10.00  6.58  70 1015.8  25.7  26.2  21.3 99.0 99.00
2016 02 02 02 50  78  6.2  7.8  2.07 10.00  6.70  76 1015.7  25.6  26.2  21.5 99.0 99.00
2016 02 02 03 50  83  5.2  6.2  2.22  9.09  6.86  75 1015.3  25.6  26.2  21.4 99.0 99.00
2016 02 02 04 50  89  7.5 10.3  2.24  9.09  6.90  71 1014.6  25.2  26.2  21.3 99.0 99.00
2016 02 02 05 50  62  5.9  7.8  2.25  9.09  6.97  74 1014.2  24.6  26.2  20.6 99.0 99.00
2016 02 02 06 50  44  3.8  4.6  2.25 13.79  7.07 333 1013.8  24.2  26.2  20.1 99.0 99.00
2016 02 02 07 50  90 10.2 12.9  2.15 10.00  7.28  64 1013.7  23.5  26.1  20.1 99.0 99.00
2016 02 02 08 50  60  7.1  8.6  2.32 13.79  7.13 342 1014.1  23.9  26.1  20.3 99.0 99.00
2016 02 02 09 50 109  5.2  6.8  2.25 12.90  7.00 347 1014.5  23.6  26.1  20.3 99.0 99.00
2016 02 02 10 50  67  4.2  5.8  2.51 12.90  7.84 340 1014.9  23.9  26.1  20.4 99.0 99.00
2016 02 02 11 50 208  0.9  1.9  2.04 12.12  7.29 328 1015.5  24.5  26.1  21.1 99.0 99.00
2016 02 02 12 50 120  6.2  7.5  2.62 12.12  7.73 338 1015.9  26.1  26.1  21.9 99.0 99.00
2016 02 02 13 50 111  5.4  6.6  2.54 12.90  7.79 332 1016.1  26.0  26.2  21.7 99.0 99.00
2016 02 02 14 50 108  5.1  6.6  2.39 10.00  7.67  61 1015.8  26.1  26.3  22.0 99.0 99.00
2016 02 02 15 50 105  4.4  5.5  2.28 10.81  7.41  31 1014.9  26.0  26.4  22.2 99.0 99.00
2016 02 02 16 50  97  4.3  5.4  2.24 12.12  7.43 334 1014.0  26.0  26.5  22.5 99.0 99.00
2016 02 02 17 50 124  5.9  7.5  2.20 12.90  7.22 332 1012.9  25.9  26.5  22.6 99.0 99.00
2016 02 02 18 50 127  6.5  8.0  2.22 10.81  7.02  11 1012.7  26.2  26.5  22.3 99.0 99.00
2016 02 02 19 50 127  6.9  8.1  2.32 10.00  7.13  42 1012.9  26.2  26.4  22.2 99.0 99.00
2016 02 02 20 50 125  6.4  7.5  2.22 11.43  6.96 337 1013.4  26.2  26.4  22.1 99.0 99.00
2016 02 02 21 50 129  7.1  8.5  2.22 10.00  7.13  56 1013.8  26.1  26.4  22.1 99.0 99.00
2016 02 02 22 50 127  7.3  8.5  2.27 10.00  6.98  25 1014.4  26.0  26.3  21.8 99.0 99.00
2016 02 02 23 50 124  6.7  7.9  2.11 10.00  6.71  64 1015.0  26.0  26.3  21.8 99.0 99.00
2016 02 03 00 50 127  6.7  8.6  2.25 10.81  6.84   9 1015.3  26.1  26.3  21.9 99.0 99.00
2016 02 03 01 50 128  7.1  8.6  2.22 10.81  6.95 341 1015.2  26.0  26.3  21.9 99.0 99.00
2016 02 03 02 50 128  8.1 10.1  2.03  9.09  6.58  59 1014.7  25.9  26.3  22.0 99.0 99.00
2016 02 03 03 50 120  7.5  9.3  2.12 10.00  6.73  37 1014.4  25.8  26.3  21.9 99.0 99.00
2016 02 03 04 50 120  7.1  8.4  2.12 10.00  6.49  34 1013.7  25.7  26.3  21.9 99.0 99.00
2016 02 03 05 50 116  6.8  7.7  2.00 11.43  6.38 348 1013.2  25.6  26.2  21.9 99.0 99.00
2016 02 03 06 50 116  6.8  7.9  2.27 10.00  6.67  31 1012.5  25.6  26.2  21.8 99.0 99.00
2016 02 03 07 50 120  6.5  7.6  2.16 11.43  6.52 360 1012.5  25.5  26.2  21.7 99.0 99.00
2016 02 03 08 50 123  6.0  7.3  2.11 10.81  6.46   1 1012.8  25.7  26.2  21.8 99.0 99.00
2016 02 03 09 50 116  5.8  6.9  2.12 11.43  6.44 341 1013.2  25.6  26.2  21.6 99.0 99.00
2016 02 03 10 50 120  6.5  7.7  2.13 11.43  6.52 348 1013.6  25.7  26.2  21.6 99.0 99.00
2016 02 03 11 50 123  7.2  8.3  2.09 10.00  6.85  43 1013.8  26.0  26.2  21.5 99.0 99.00
2016 02 03 12 50 121  6.4  7.5  1.98 11.43  6.47 348 1014.3  25.9  26.2  21.9 99.0 99.00
2016 02 03 13 50 118  6.1  7.6  2.10 10.81  6.69 354 1014.3  25.9  26.2  22.1 99.0 99.00
2016 02 03 14 50 129  5.4  6.2  2.11 10.00  6.69  33 1014.0  26.1  26.3  21.7 99.0 99.00
