#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2016 03 31 23 50 116  9.5 10.9  1.95  7.14  5.63 112 1023.5  20.7  20.4  18.7 99.0 99.00
2016 04 01 00 50 116  9.5 11.2  1.99  7.14  5.68 111 1023.5  20.7  20.4  18.9 99.0 99.00
2016 04 01 01 50 121  9.3 11.6  2.01  7.14  5.65 115 1023.6  20.8  20.4  19.2 99.0 99.00
2016 04 01 02 50 128 10.5 12.7  1.95  8.33  5.64 126 1023.1  20.8  20.4  19.1 99.0 99.00
2016 04 01 03 50 128  8.4 10.4  1.90  7.69  5.54 129 1023.1  20.6  20.4  19.2 99.0 99.00
2016 04 01 04 50 142  7.2  8.9  1.94  7.69  5.51 115 1023.0  20.6  20.4  18.9 99.0 99.00
2016 04 01 05 50 146  7.8  9.5  1.86  7.69  5.57 108 1022.5  20.6  20.4  19.1 99.0 99.00
2016 04 01 06 50 137  7.2  8.5  1.84  7.69  5.55 114 1021.1  20.6  20.3  19.2 99.0 99.00
2016 04 01 07 50 130  7.7  9.4  1.84  7.69  5.67 131 1020.7  20.6  20.3  19.3 99.0 99.00
2016 04 01 08 50 141  7.7  9.2  1.85  7.14  5.75 115 1021.0  20.5  20.3  18.8 99.0 99.00
2016 04 01 09 50 147  6.9  8.4  1.96  7.69  5.87 104 1021.4  20.5  20.3  19.0 99.0 99.00
2016 04 01 10 50 147  7.4  8.6  1.81  8.33  5.96 113 1021.7  20.5  20.3  19.0 99.0 99.00
2016 04 01 11 50 144  7.1  8.4  1.80  7.69  5.71 122 1021.9  20.8  20.2  19.1 99.0 99.00
2016 04 01 12 50 143  7.1  8.2  1.79  7.14  5.73 116 1022.0  20.9  20.2  19.4 99.0 99.00
2016 04 01 13 50 145  7.6  9.1  1.87  7.69  5.81 113 1021.8  20.9  20.3  19.6 99.0 99.00
2016 04 01 14 50 159  7.1  8.8  1.69  8.33  5.71 115 1021.9  21.1  20.3  19.8 99.0 99.00
2016 04 01 15 50 156  8.0  9.3  1.56  8.33  5.46 107 1021.5  21.2  20.4  19.9 99.0 99.00
2016 04 01 16 50 156  8.1  9.8  1.65  9.09  5.49 101 1021.0  21.2  20.4  19.8 99.0 99.00
2016 04 01 17 50 162  7.5  8.8  1.71  8.33  5.47 118 1020.7  21.3  20.4  20.0 99.0 99.00
2016 04 01 18 50 162  7.2  8.4  1.62  7.14  5.38 107 1019.8  21.3  20.5  19.9 99.0 99.00
2016 04 01 19 50 163  6.7  8.0  1.68  7.69  5.48 110 1019.4  21.3  20.5  20.0 99.0 99.00
2016 04 01 20 50 161  6.1  7.2  1.50  7.14  5.39 112 1019.4  21.2  20.5  19.9 99.0 99.00
2016 04 01 21 50 155  6.1  7.0  1.53  7.69  5.71 106 1019.5  21.2  20.5  19.9 99.0 99.00
2016 04 01 22 50 163  5.6  6.9  1.60  7.14  5.74 123 1020.1  21.1  20.5  20.1 99.0 99.00
2016 04 01 23 50 164  5.1  6.1  1.56  7.69  5.92 119 1020.6  21.1  20.5  20.3 99.0 99.00
2016 04 02 00 50 158  5.6  6.4  1.46  7.69  5.88 125 1020.5  21.0  20.4  20.3 99.0 99.00
2016 04 02 01 50 155  4.9  5.9  1.71  7.69  6.21 111 1020.7  21.0  20.4  20.3 99.0 99.00
2016 04 02 02 50 158  6.2  7.3  1.59  7.69  5.99 122 1020.2  21.0  20.4  20.4 99.0 99.00
2016 04 02 03 50 167  7.5  8.7  1.59  7.69  6.08 116 1019.6  21.1  20.4  20.5 99.0 99.00
2016 04 02 04 50 168  8.4  9.4  1.45  7.69  5.39 114 1019.1  21.2  20.4  20.6 99.0 99.00
2016 04 02 05 50 166  8.6 10.2  1.56  7.69  5.58 124 1018.2  21.1  20.4  20.5 99.0 99.00
2016 04 02 06 50 175  8.9 10.4  1.54  7.14  5.51 121 1017.6  21.1  20.4  20.4 99.0 99.00
