#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2016 04 30 23 50  50  5.3  6.4  1.35  7.69  5.66  86 1015.5  25.5  26.2  21.4 99.0 99.00
2016 05 01 00 50  62  4.6  5.6  1.30  7.69  5.71  84 1016.0  25.4  26.2  21.4 99.0 99.00
2016 05 01 01 50  66  4.2  5.0  1.25  9.09  5.82  29 1016.0  25.4  26.2  21.8 99.0 99.00
2016 05 01 02 50  66  4.3  5.4  1.19  7.69  5.67 107 1015.2  25.3  26.2  21.6 99.0 99.00
2016 05 01 03 50  46  4.5  5.2  1.22  7.69  5.83  76 1014.2  25.2  26.1  21.8 99.0 99.00
2016 05 01 04 50  51  5.0  6.0  1.24  8.33  5.93  67 1013.7  25.2  26.1  21.8 99.0 99.00
2016 05 01 05 50  60  4.7  5.6  1.18  7.14  5.90  61 1013.2  25.1  26.1  21.5 99.0 99.00
2016 05 01 06 50  54  3.7  4.7  1.15  7.69  5.66  55 1013.5  25.0  26.1  21.5 99.0 99.00
2016 05 01 07 50  69  2.8  3.6  1.09  7.14  5.70  60 1014.0  25.1  26.1  21.4 99.0 99.00
2016 05 01 08 50  44  3.3  4.1  1.15  7.69  5.94  92 1014.6  25.0  26.1  21.4 99.0 99.00
2016 05 01 09 50  35  3.4  4.1  1.13  8.33  6.01  64 1015.4  25.1  26.1  21.3 99.0 99.00
2016 05 01 10 50  45  3.9  4.8  1.16  7.69  6.11  66 1015.4  25.1  26.1  21.3 99.0 99.00
2016 05 01 11 50  48  4.5  5.5  1.20 10.00  6.22   8 1015.4  25.2  26.2  21.5 99.0 99.00
2016 05 01 12 50  47  4.2  4.9  1.15 10.00  6.18  19 1015.6  25.2  26.2  21.3 99.0 99.00
2016 05 01 13 50  34  5.1  6.2  1.17  7.14  6.03  41 1015.2  25.3  26.3  21.4 99.0 99.00
2016 05 01 14 50  40  5.5  6.6  1.12  9.09  5.82  42 1014.5  25.3  26.4  21.3 99.0 99.00
2016 05 01 15 50  33  5.0  5.9  1.19 10.00  5.98  17 1014.2  25.3  26.5  21.1 99.0 99.00
2016 05 01 16 50  26  5.3  6.1  1.18 10.00  6.13  14 1013.8  25.5  26.5  21.1 99.0 99.00
2016 05 01 17 50  34  4.3  5.1  1.25 10.00  6.13   7 1013.8  25.5  26.6  21.3 99.0 99.00
2016 05 01 18 50  51  4.3  4.9  1.17 10.00  6.03  16 1013.8  25.4  26.5  21.1 99.0 99.00
