#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2016 09 01 00 00 215  3.6  4.8 99.00 99.00 99.00 999 1016.5  29.0  30.3  24.6 99.0 99.00 
2016 09 01 00 10 214  4.0  5.3 99.00 99.00 99.00 999 1016.6  29.1  30.3  24.8 99.0 99.00 
2016 09 01 00 20 215  4.3  5.6 99.00 99.00 99.00 999 1016.6  29.1  30.3  24.7 99.0 99.00 
2016 09 01 00 30 211  4.4  5.7 99.00 99.00 99.00 999 1016.6  29.2  30.3  24.3 99.0 99.00 
2016 09 01 00 40 222  4.5  5.8  0.88  9.09  5.55  88 1016.7  29.2  30.3  24.1 99.0 99.00 
2016 09 01 00 50 219  4.0  5.4 99.00 99.00 99.00 999 1016.8  29.2  30.3  24.2 99.0 99.00 
2016 09 01 01 00 221  3.6  5.0 99.00 99.00 99.00 999 1016.8  29.3  30.3  24.2 99.0 99.00 
2016 09 01 01 10 219  4.9  6.8 99.00 99.00 99.00 999 1016.9  29.2  30.3  24.5 99.0 99.00 
2016 09 01 01 20 215  5.4  6.7 99.00 99.00 99.00 999 1017.0  29.1  30.3  24.5 99.0 99.00 
2016 09 01 01 30 221  5.2  6.4 99.00 99.00 99.00 999 1017.2  29.0  30.3  24.6 99.0 99.00 
2016 09 01 01 40 223  4.3  5.7  0.83  9.09  5.14  90 1017.3  29.1  30.3  24.5 99.0 99.00 
2016 09 01 01 50 228  3.3  4.5 99.00 99.00 99.00 999 1017.3  29.1  30.3  24.8 99.0 99.00 
2016 09 01 02 00 228  2.8  3.7 99.00 99.00 99.00 999 1017.4  29.0  30.3  25.0 99.0 99.00 
2016 09 01 02 10 224  2.8  3.8 99.00 99.00 99.00 999 1017.3  28.9  30.3  24.9 99.0 99.00 
2016 09 01 02 20 213  2.4  3.2 99.00 99.00 99.00 999 1017.3  28.9  30.3  25.0 99.0 99.00 
2016 09 01 02 30 204  2.4  3.4 99.00 99.00 99.00 999 1017.4  28.9  30.3  25.0 99.0 99.00 
2016 09 01 02 40 212  2.7  3.7  0.84  9.09  5.50  78 1017.4  29.0  30.3  25.0 99.0 99.00 
2016 09 01 02 50 208  3.3  4.5 99.00 99.00 99.00 999 1017.3  29.1  30.3  24.6 99.0 99.00 
2016 09 01 03 00 219  3.6  4.9 99.00 99.00 99.00 999 1017.4  29.2  30.3  24.6 99.0 99.00 
2016 09 01 03 10 208  3.7  4.8 99.00 99.00 99.00 999 1017.4  29.2  30.3  24.8 99.0 99.00 
2016 09 01 03 20 209  4.1  5.4 99.00 99.00 99.00 999 1017.3  29.2  30.3  24.6 99.0 99.00 
2016 09 01 03 30 216  4.2  5.6 99.00 99.00 99.00 999 1017.4  29.3  30.3  24.6 99.0 99.00 
2016 09 01 03 40 206  4.5  5.8  0.81  7.69  5.37  79 1017.4  29.3  30.3  24.8 99.0 99.00 
2016 09 01 03 50 209  4.4  6.1 99.00 99.00 99.00 999 1017.4  29.2  30.3  24.6 99.0 99.00 
2016 09 01 04 00 212  4.6  6.1 99.00 99.00 99.00 999 1017.3  29.3  30.3  24.4 99.0 99.00 
2016 09 01 04 10 213  4.5  5.9 99.00 99.00 99.00 999 1017.3  29.3  30.3  24.6 99.0 99.00 
2016 09 01 04 20 207  4.7  5.9 99.00 99.00 99.00 999 1017.3  29.3  30.3  24.6 99.0 99.00 
2016 09 01 04 30 210  4.8  6.0 99.00 99.00 99.00 999 1017.2  29.2  30.3  24.4 99.0 99.00 
2016 09 01 04 40 211  4.8  6.9  0.79  8.33  5.29 100 1017.2  29.3  30.3  24.6 99.0 99.00 
2016 09 01 04 50 208  4.4  5.6 99.00 99.00 99.00 999 1017.2  29.2  30.3  24.6 99.0 99.00 
2016 09 01 05 00 206  4.8  5.5 99.00 99.00 99.00 999 1017.1  29.2  30.3  24.6 99.0 99.00 
2016 09 01 05 10 205  4.5  6.8 99.00 99.00 99.00 999 1017.1  29.2  30.3  24.9 99.0 99.00 
2016 09 01 05 20 196  5.6  7.3 99.00 99.00 99.00 999 1017.1  29.2  30.3  24.8 99.0 99.00 
2016 09 01 05 30 196  5.3  6.7 99.00 99.00 99.00 999 1016.9  29.2  30.3  24.8 99.0 99.00 
2016 09 01 05 40 191  5.2  6.4  0.82  9.09  5.26  85 1016.8  29.2  30.3  24.9 99.0 99.00 
2016 09 01 05 50 189  5.5  6.9 99.00 99.00 99.00 999 1016.8  29.2  30.3  24.8 99.0 99.00 
2016 09 01 06 00 190  5.1  6.4 99.00 99.00 99.00 999 1016.8  29.2  30.3  24.8 99.0 99.00 
2016 09 01 06 10 190  5.1  6.3 99.00 99.00 99.00 999 1016.7  29.2  30.3  25.0 99.0 99.00 
2016 09 01 06 20 192  5.6  6.8 99.00 99.00 99.00 999 1016.7  29.1  30.3  24.7 99.0 99.00 
2016 09 01 06 30 193  5.3  6.6 99.00 99.00 99.00 999 1016.7  29.2  30.3  24.8 99.0 99.00 
2016 09 01 06 40 199  5.7  7.0  0.78  9.09  4.98  97 1016.7  29.2  30.3  24.6 99.0 99.00 
2016 09 01 06 50 204  5.1  6.8 99.00 99.00 99.00 999 1016.6  29.3  30.3  25.0 99.0 99.00 
2016 09 01 07 00 198  5.4  6.8 99.00 99.00 99.00 999 1016.7  29.2  30.3  24.9 99.0 99.00 
2016 09 01 07 10 194  6.1  7.5 99.00 99.00 99.00 999 1016.7  29.1  30.2  25.1 99.0 99.00 
2016 09 01 07 20 197  5.6  7.5 99.00 99.00 99.00 999 1016.7  29.1  30.3  25.0 99.0 99.00 
2016 09 01 07 30 201  5.0  6.5 99.00 99.00 99.00 999 1016.5  29.1  30.3  24.9 99.0 99.00 
2016 09 01 07 40 204  4.8  6.0  0.80 10.00  4.92  87 1016.4  29.0  30.3  25.0 99.0 99.00 
2016 09 01 07 50 210  5.1  6.1 99.00 99.00 99.00 999 1016.4  29.1  30.2  25.0 99.0 99.00 
2016 09 01 08 00 217  5.8  7.2 99.00 99.00 99.00 999 1016.3  29.2  30.3  24.5 99.0 99.00 
2016 09 01 08 10 221  5.9  7.3 99.00 99.00 99.00 999 1016.3  29.3  30.3  24.7 99.0 99.00 
2016 09 01 08 20 222  5.8  7.1 99.00 99.00 99.00 999 1016.4  29.3  30.3  24.7 99.0 99.00 
2016 09 01 08 30 225  5.2  6.6 99.00 99.00 99.00 999 1016.6  29.3  30.2  25.0 99.0 99.00 
2016 09 01 08 40 195  5.9 10.9  0.81  8.33  4.86  92 1016.6  29.2  30.2  25.1 99.0 99.00 
2016 09 01 08 50 201  6.0  7.6 99.00 99.00 99.00 999 1016.4  29.1  30.2  25.1 99.0 99.00 
2016 09 01 09 00 212  6.9  8.8 99.00 99.00 99.00 999 1016.3  29.3  30.3  24.7 99.0 99.00 
2016 09 01 09 10 209  6.9  8.1 99.00 99.00 99.00 999 1016.3  29.4  30.3  24.8 99.0 99.00 
2016 09 01 09 20 213  6.4  7.6 99.00 99.00 99.00 999 1016.5  29.4  30.3  24.6 99.0 99.00 
2016 09 01 09 30 208  5.9  7.5 99.00 99.00 99.00 999 1016.5  29.4  30.3  24.9 99.0 99.00 
2016 09 01 09 40 208  6.4  8.4  0.91  9.09  4.86  70 1016.4  29.4  30.2  24.9 99.0 99.00 
2016 09 01 09 50 201  6.3  7.5 99.00 99.00 99.00 999 1016.4  29.4  30.2  24.9 99.0 99.00 
2016 09 01 10 00 198  6.5  8.0 99.00 99.00 99.00 999 1016.5  29.4  30.2  24.6 99.0 99.00 
2016 09 01 10 10 204  6.0  7.7 99.00 99.00 99.00 999 1016.6  29.4  30.2  24.8 99.0 99.00 
2016 09 01 10 20 200  6.0  7.6 99.00 99.00 99.00 999 1016.6  29.4  30.2  24.9 99.0 99.00 
2016 09 01 10 30 201  5.8  7.0 99.00 99.00 99.00 999 1016.7  29.4  30.2  25.1 99.0 99.00 
2016 09 01 10 40 203  6.4  7.8  0.91 10.00  4.77  62 1016.9  29.4  30.2  25.0 99.0 99.00 
2016 09 01 10 50 201  6.1  7.3 99.00 99.00 99.00 999 1016.9  29.4  30.2  25.1 99.0 99.00 
2016 09 01 11 00 200  6.6  8.7 99.00 99.00 99.00 999 1016.9  29.5  30.2  24.8 99.0 99.00 
2016 09 01 11 10 201  6.8  8.4 99.00 99.00 99.00 999 1016.9  29.6  30.2  25.0 99.0 99.00 
2016 09 01 11 20 206  6.9  8.6 99.00 99.00 99.00 999 1016.9  29.6  30.2  25.0 99.0 99.00 
2016 09 01 11 30 212  7.0  8.2 99.00 99.00 99.00 999 1016.9  29.5  30.2  24.9 99.0 99.00 
2016 09 01 11 40 213  6.6  8.1  0.95 10.00  4.49  82 1017.0  29.5  30.2  25.1 99.0 99.00 
2016 09 01 11 50 212  6.9  9.0 99.00 99.00 99.00 999 1017.1  29.6  30.2  25.1 99.0 99.00 
2016 09 01 12 00 207  7.3  9.1 99.00 99.00 99.00 999 1017.1  29.6  30.2  24.8 99.0 99.00 
2016 09 01 12 10 215  7.0  8.8 99.00 99.00 99.00 999 1017.2  29.6  30.2  25.2 99.0 99.00 
2016 09 01 12 20 217  6.9  8.3 99.00 99.00 99.00 999 1017.2  29.4  30.3  25.1 99.0 99.00 
2016 09 01 12 30 209  7.1  8.5 99.00 99.00 99.00 999 1017.4  29.5  30.2  24.4 99.0 99.00 
2016 09 01 12 40 202  7.2  8.8  0.99  9.09  4.46  85 1017.4  29.6  30.2  24.9 99.0 99.00 
2016 09 01 12 50 194  6.9  8.9 99.00 99.00 99.00 999 1017.5  29.6  30.2  24.7 99.0 99.00 
2016 09 01 13 00 195  7.3  8.9 99.00 99.00 99.00 999 1017.7  29.7  30.2  24.3 99.0 99.00 
2016 09 01 13 10 199  7.2  9.0 99.00 99.00 99.00 999 1017.7  29.7  30.2  24.9 99.0 99.00 
2016 09 01 13 20 199  7.3  8.7 99.00 99.00 99.00 999 1017.7  29.7  30.3  24.6 99.0 99.00 
2016 09 01 13 30 200  7.2  8.4 99.00 99.00 99.00 999 1017.8  29.7  30.3  24.6 99.0 99.00 
2016 09 01 13 40 204  7.1  8.7  1.02  8.33  4.41  89 1018.0  29.7  30.3  24.8 99.0 99.00 
2016 09 01 13 50 203  6.8  8.3 99.00 99.00 99.00 999 1018.0  29.7  30.3  25.0 99.0 99.00 
2016 09 01 14 00 204  6.7  8.2 99.00 99.00 99.00 999 1018.0  29.7  30.3  25.0 99.0 99.00 
2016 09 01 14 10 202  6.6  8.0 99.00 99.00 99.00 999 1018.0  29.7  30.3  25.0 99.0 99.00 
2016 09 01 14 20 200  6.6  8.2 99.00 99.00 99.00 999 1018.0  29.7  30.3  25.3 99.0 99.00 
2016 09 01 14 30 203  6.9  8.4 99.00 99.00 99.00 999 1018.0  29.7  30.3  25.2 99.0 99.00 
2016 09 01 14 40 196  7.2  8.5  1.08  9.09  4.41  70 1018.0  29.7  30.3  25.1 99.0 99.00 
2016 09 01 14 50 197  7.3  8.5 99.00 99.00 99.00 999 1017.9  29.6  30.3  24.9 99.0 99.00 
2016 09 01 15 00 200  7.1  8.8 99.00 99.00 99.00 999 1017.9  29.7  30.3  25.0 99.0 99.00 
2016 09 01 15 10 202  7.0  8.7 99.00 99.00 99.00 999 1018.0  29.7  30.3  24.9 99.0 99.00 
2016 09 01 15 20 205  6.7  8.6 99.00 99.00 99.00 999 1018.0  29.7  30.3  25.2 99.0 99.00 
2016 09 01 15 30 203  6.9  8.4 99.00 99.00 99.00 999 1018.0  29.7  30.3  25.3 99.0 99.00 
2016 09 01 15 40 202  6.9  8.3  1.10  5.26  4.37 219 1018.0  29.7  30.3  25.3 99.0 99.00 
2016 09 01 15 50 202  6.8  8.2 99.00 99.00 99.00 999 1018.0  29.7  30.3  25.3 99.0 99.00 
2016 09 01 16 00 205  6.8  8.4 99.00 99.00 99.00 999 1018.0  29.7  30.3  25.2 99.0 99.00 
2016 09 01 16 10 204  6.8  8.6 99.00 99.00 99.00 999 1018.0  29.8  30.3  25.4 99.0 99.00 
2016 09 01 16 20 206  7.2  8.3 99.00 99.00 99.00 999 1017.8  29.8  30.3  25.1 99.0 99.00 
2016 09 01 16 30 207  7.1  9.0 99.00 99.00 99.00 999 1017.8  29.9  30.3  25.1 99.0 99.00 
2016 09 01 16 40 209  6.8  8.0  1.06  4.35  4.39 224 1017.6  29.9  30.4  25.5 99.0 99.00 
2016 09 01 16 50 208  7.3  9.0 99.00 99.00 99.00 999 1017.5  29.8  30.3  25.4 99.0 99.00 
2016 09 01 17 00 209  7.5  9.4 99.00 99.00 99.00 999 1017.4  29.7  30.4  25.4 99.0 99.00 
2016 09 01 17 10 206  7.9  9.2 99.00 99.00 99.00 999 1017.5  29.8  30.3  25.1 99.0 99.00 
2016 09 01 17 20 207  8.0  9.7 99.00 99.00 99.00 999 1017.5  29.8  30.4  24.9 99.0 99.00 
2016 09 01 17 30 207  7.6  9.1 99.00 99.00 99.00 999 1017.3  29.9  30.4  24.7 99.0 99.00 
2016 09 01 17 40 201  7.6  9.4  1.19  4.76  4.56 208 1017.2  29.8  30.4  25.1 99.0 99.00 
2016 09 01 17 50 205  7.3  9.1 99.00 99.00 99.00 999 1017.4  29.8  30.4  24.7 99.0 99.00 
2016 09 01 18 00 216  7.2  8.7 99.00 99.00 99.00 999 1017.4  29.9  30.4  24.1 99.0 99.00 
2016 09 01 18 10 214  6.7  8.1 99.00 99.00 99.00 999 1017.4  29.9  30.4  24.5 99.0 99.00 
2016 09 01 18 20 212  7.2  8.9 99.00 99.00 99.00 999 1017.2  29.9  30.4  24.6 99.0 99.00 
2016 09 01 18 30 211  6.6  8.0 99.00 99.00 99.00 999 1017.2  29.9  30.4  24.6 99.0 99.00 
2016 09 01 18 40 205  6.7  8.1  1.12  4.35  4.51 224 1017.2  29.9  30.4  24.9 99.0 99.00 
2016 09 01 18 50 205  6.4  7.6 99.00 99.00 99.00 999 1017.2  29.8  30.4  24.9 99.0 99.00 
2016 09 01 19 00 202  6.1  7.4 99.00 99.00 99.00 999 1017.1  29.8  30.4  24.9 99.0 99.00 
2016 09 01 19 10 207  6.2  7.4 99.00 99.00 99.00 999 1017.1  29.8  30.4  25.0 99.0 99.00 
2016 09 01 19 20 208  6.2  8.0 99.00 99.00 99.00 999 1017.1  29.8  30.4  24.9 99.0 99.00 
2016 09 01 19 30 209  6.2  7.6 99.00 99.00 99.00 999 1017.1  29.9  30.4  24.9 99.0 99.00 
2016 09 01 19 40 211  6.4  7.9  1.08 10.81  4.66  77 1017.2  30.0  30.4  24.8 99.0 99.00 
2016 09 01 19 50 221  6.0  8.1 99.00 99.00 99.00 999 1017.3  30.0  30.4  24.5 99.0 99.00 
2016 09 01 20 00 218  6.4  7.7 99.00 99.00 99.00 999 1017.2  30.0  30.4  24.4 99.0 99.00 
2016 09 01 20 10 216  6.2  7.9 99.00 99.00 99.00 999 1017.2  30.0  30.4  24.5 99.0 99.00 
2016 09 01 20 20 215  6.3  7.4 99.00 99.00 99.00 999 1017.1  30.0  30.4  24.5 99.0 99.00 
2016 09 01 20 30 213  6.1  7.5 99.00 99.00 99.00 999 1017.1  30.0  30.4  24.6 99.0 99.00 
2016 09 01 20 40 210  5.9  7.6  1.06  5.00  4.71 196 1017.3  30.0  30.4  24.8 99.0 99.00 
2016 09 01 20 50 212  5.9  7.2 99.00 99.00 99.00 999 1017.3  29.9  30.4  24.9 99.0 99.00 
2016 09 01 21 00 220  6.5  8.1 99.00 99.00 99.00 999 1017.4  30.0  30.4  24.5 99.0 99.00 
2016 09 01 21 10 217  6.3  8.1 99.00 99.00 99.00 999 1017.3  30.1  30.4  24.6 99.0 99.00 
2016 09 01 21 20 218  6.8  8.3 99.00 99.00 99.00 999 1017.2  30.0  30.4  24.4 99.0 99.00 
2016 09 01 21 30 215  6.5  7.9 99.00 99.00 99.00 999 1017.4  30.1  30.4  24.6 99.0 99.00 
2016 09 01 21 40 215  6.2  7.6  1.08  9.09  4.83  82 1017.4  30.1  30.4  24.3 99.0 99.00 
2016 09 01 21 50 216  6.1  7.7 99.00 99.00 99.00 999 1017.5  30.0  30.4  24.6 99.0 99.00 
2016 09 01 22 00 216  6.2  7.5 99.00 99.00 99.00 999 1017.5  30.0  30.4  24.5 99.0 99.00 
2016 09 01 22 10 214  6.2  7.9 99.00 99.00 99.00 999 1017.5  29.9  30.3  24.8 99.0 99.00 
2016 09 01 22 20 216  6.4  8.1 99.00 99.00 99.00 999 1017.6  29.9  30.4  24.5 99.0 99.00 
2016 09 01 22 30 214  6.4  7.9 99.00 99.00 99.00 999 1017.5  29.9  30.3  24.6 99.0 99.00 
2016 09 01 22 40 213  6.8  8.7  1.11 10.81  4.72  82 1017.6  29.9  30.3  24.6 99.0 99.00 
2016 09 01 22 50 211  7.2  8.6 99.00 99.00 99.00 999 1017.6  29.9  30.3  24.5 99.0 99.00 
2016 09 01 23 00 211  7.4  8.9 99.00 99.00 99.00 999 1017.7  29.9  30.3  24.7 99.0 99.00 
2016 09 01 23 10 213  7.3  8.7 99.00 99.00 99.00 999 1017.7  29.9  30.3  24.8 99.0 99.00 
2016 09 01 23 20 216  7.0  8.6 99.00 99.00 99.00 999 1017.8  29.9  30.3  24.6 99.0 99.00 
2016 09 01 23 30 218  6.5  7.7 99.00 99.00 99.00 999 1018.0  29.8  30.3  24.6 99.0 99.00 
2016 09 01 23 40 213  6.4  7.5  1.07 10.00  4.72 100 1018.0  29.8  30.3  24.6 99.0 99.00 
2016 09 01 23 50 218  6.4  8.0 99.00 99.00 99.00 999 1018.2  29.8  30.3  24.7 99.0 99.00 
2016 09 02 00 00 211  6.5  7.8 99.00 99.00 99.00 999 1018.2  29.8  30.3  24.7 99.0 99.00 
2016 09 02 00 10 216  6.2  7.7 99.00 99.00 99.00 999 1018.4  29.8  30.3  24.7 99.0 99.00 
2016 09 02 00 20 216  6.2  7.7 99.00 99.00 99.00 999 1018.5  29.8  30.3  24.6 99.0 99.00 
2016 09 02 00 30 214  6.4  7.9 99.00 99.00 99.00 999 1018.6  29.8  30.3  24.4 99.0 99.00 
2016 09 02 00 40 212  6.5  7.6  1.12  5.00  4.67 207 1018.7  29.8  30.3  24.5 99.0 99.00 
2016 09 02 00 50 211  5.9  7.4 99.00 99.00 99.00 999 1018.8  29.8  30.3  24.8 99.0 99.00 
2016 09 02 01 00 213  5.8  7.0 99.00 99.00 99.00 999 1018.9  29.8  30.3  24.5 99.0 99.00 
2016 09 02 01 10 215  5.8  7.1 99.00 99.00 99.00 999 1019.1  29.8  30.3  24.5 99.0 99.00 
2016 09 02 01 20 217  5.6  7.1 99.00 99.00 99.00 999 1019.1  29.8  30.3  24.7 99.0 99.00 
2016 09 02 01 30 218  5.5  6.9 99.00 99.00 99.00 999 1019.2  29.7  30.3  24.4 99.0 99.00 
2016 09 02 01 40 220  5.5  6.8  1.11 10.00  4.76  88 1019.3  29.8  30.3  24.5 99.0 99.00 
2016 09 02 01 50 216  5.1  6.4 99.00 99.00 99.00 999 1019.3  29.8  30.2  24.7 99.0 99.00 
2016 09 02 02 00 220  5.0  6.1 99.00 99.00 99.00 999 1019.3  29.7  30.3  24.4 99.0 99.00 
2016 09 02 02 10 209  5.3  6.6 99.00 99.00 99.00 999 1019.3  29.8  30.3  24.4 99.0 99.00 
2016 09 02 02 20 202  5.6  6.7 99.00 99.00 99.00 999 1019.4  29.7  30.3  24.6 99.0 99.00 
2016 09 02 02 30 198  5.5  7.4 99.00 99.00 99.00 999 1019.2  29.7  30.3  24.8 99.0 99.00 
2016 09 02 02 40 194  5.9  7.3  1.08  9.09  5.07  85 1019.2  29.7  30.3  24.7 99.0 99.00 
2016 09 02 02 50 192  6.3  7.6 99.00 99.00 99.00 999 1019.2  29.7  30.3  24.6 99.0 99.00 
2016 09 02 03 00 195  6.1  7.0 99.00 99.00 99.00 999 1019.1  29.7  30.3  24.5 99.0 99.00 
2016 09 02 03 10 193  5.9  7.4 99.00 99.00 99.00 999 1019.1  29.7  30.2  24.9 99.0 99.00 
2016 09 02 03 20 194  6.1  7.6 99.00 99.00 99.00 999 1019.1  29.6  30.3  24.8 99.0 99.00 
2016 09 02 03 30 195  6.4  7.6 99.00 99.00 99.00 999 1019.1  29.6  30.2  24.5 99.0 99.00 
2016 09 02 03 40 196  6.4  7.9  1.04 10.00  4.99  75 1019.0  29.7  30.3  24.2 99.0 99.00 
2016 09 02 03 50 199  6.5  7.8 99.00 99.00 99.00 999 1018.9  29.6  30.3  24.4 99.0 99.00 
2016 09 02 04 00 199  6.5  7.9 99.00 99.00 99.00 999 1018.8  29.6  30.2  24.9 99.0 99.00 
2016 09 02 04 10 196  6.4  7.5 99.00 99.00 99.00 999 1018.8  29.6  30.2  25.0 99.0 99.00 
2016 09 02 04 20 194  6.7  8.1 99.00 99.00 99.00 999 1018.7  29.5  30.2  24.9 99.0 99.00 
2016 09 02 04 30 197  6.8  8.4 99.00 99.00 99.00 999 1018.6  29.5  30.2  24.7 99.0 99.00 
2016 09 02 04 40 200  6.9  8.4  1.09 10.00  4.95  77 1018.5  29.5  30.2  24.8 99.0 99.00 
2016 09 02 04 50 204  6.5  8.0 99.00 99.00 99.00 999 1018.5  29.4  30.2  24.7 99.0 99.00 
2016 09 02 05 00 206  6.7  8.6 99.00 99.00 99.00 999 1018.5  29.5  30.2  24.5 99.0 99.00 
2016 09 02 05 10 204  6.6  8.0 99.00 99.00 99.00 999 1018.5  29.5  30.2  24.8 99.0 99.00 
2016 09 02 05 20 206  6.6  8.0 99.00 99.00 99.00 999 1018.3  29.4  30.2  24.8 99.0 99.00 
2016 09 02 05 30 201  7.0  8.4 99.00 99.00 99.00 999 1018.1  29.4  30.2  24.8 99.0 99.00 
2016 09 02 05 40 204  6.6  7.9  1.15 10.81  5.11  63 1018.3  29.4  30.2  25.1 99.0 99.00 
2016 09 02 05 50 210  6.5  7.9 99.00 99.00 99.00 999 1018.3  29.4  30.2  24.8 99.0 99.00 
2016 09 02 06 00 209  6.1  7.6 99.00 99.00 99.00 999 1018.3  29.4  30.2  24.5 99.0 99.00 
2016 09 02 06 10 207  6.3  8.0 99.00 99.00 99.00 999 1018.1  29.5  30.2  24.5 99.0 99.00 
2016 09 02 06 20 204  6.4  8.1 99.00 99.00 99.00 999 1018.1  29.4  30.2  24.5 99.0 99.00 
2016 09 02 06 30 202  6.2  7.5 99.00 99.00 99.00 999 1018.1  29.4  30.2  24.4 99.0 99.00 
2016 09 02 06 40 204  6.2  7.7  1.11  8.33  5.07  89 1018.2  29.4  30.2  24.1 99.0 99.00 
2016 09 02 06 50 208  5.8  7.1 99.00 99.00 99.00 999 1018.2  29.4  30.2  24.5 99.0 99.00 
2016 09 02 07 00 208  6.0  7.6 99.00 99.00 99.00 999 1018.1  29.3  30.2  24.4 99.0 99.00 
2016 09 02 07 10 212  6.0  7.3 99.00 99.00 99.00 999 1018.1  29.3  30.2  24.5 99.0 99.00 
2016 09 02 07 20 213  6.2  7.7 99.00 99.00 99.00 999 1018.0  29.2  30.2  24.4 99.0 99.00 
2016 09 02 07 30 217  5.9  6.9 99.00 99.00 99.00 999 1018.1  29.2  30.2  24.3 99.0 99.00 
2016 09 02 07 40 214  5.9  7.3  1.15 10.81  5.05  78 1018.0  29.2  30.2  24.3 99.0 99.00 
2016 09 02 07 50 209  5.7  7.2 99.00 99.00 99.00 999 1018.1  29.3  30.2  24.3 99.0 99.00 
2016 09 02 08 00 199  5.4  6.6 99.00 99.00 99.00 999 1018.0  29.2  30.2  24.3 99.0 99.00 
2016 09 02 08 10 196  5.5  7.4 99.00 99.00 99.00 999 1018.1  29.2  30.2  24.3 99.0 99.00 
2016 09 02 08 20 199  5.1  6.5 99.00 99.00 99.00 999 1018.0  29.2  30.2  24.3 99.0 99.00 
2016 09 02 08 30 204  5.3  6.8 99.00 99.00 99.00 999 1018.0  29.2  30.2  24.4 99.0 99.00 
2016 09 02 08 40 198  5.3  6.6  1.11 10.81  5.15  84 1018.0  29.2  30.2  24.2 99.0 99.00 
2016 09 02 08 50 205  5.5  6.9 99.00 99.00 99.00 999 1018.0  29.2  30.2  24.2 99.0 99.00 
2016 09 02 09 00 201  5.5  6.8 99.00 99.00 99.00 999 1018.0  29.3  30.2  24.3 99.0 99.00 
2016 09 02 09 10 203  5.7  7.1 99.00 99.00 99.00 999 1018.1  29.2  30.2  24.0 99.0 99.00 
2016 09 02 09 20 202  5.7  7.1 99.00 99.00 99.00 999 1018.2  29.2  30.2  24.1 99.0 99.00 
2016 09 02 09 30 202  5.9  7.5 99.00 99.00 99.00 999 1018.3  29.2  30.2  24.4 99.0 99.00 
2016 09 02 09 40 196  5.4  7.0  1.13 10.00  5.16  96 1018.3  29.2  30.2  24.5 99.0 99.00 
2016 09 02 09 50 197  5.3  6.6 99.00 99.00 99.00 999 1018.3  29.2  30.2  24.2 99.0 99.00 
2016 09 02 10 00 194  5.4  6.6 99.00 99.00 99.00 999 1018.5  29.2  30.2  24.4 99.0 99.00 
2016 09 02 10 10 190  5.8  7.2 99.00 99.00 99.00 999 1018.7  29.1  30.2  24.2 99.0 99.00 
2016 09 02 10 20 189  5.4  6.8 99.00 99.00 99.00 999 1018.7  29.1  30.2  24.1 99.0 99.00 
2016 09 02 10 30 190  5.4  6.6 99.00 99.00 99.00 999 1018.8  29.2  30.2  24.1 99.0 99.00 
2016 09 02 10 40 197  5.3  6.5  1.11  9.09  5.18  77 1018.8  29.2  30.2  23.7 99.0 99.00 
2016 09 02 10 50 197  5.4  6.6 99.00 99.00 99.00 999 1019.0  29.3  30.2  24.0 99.0 99.00 
2016 09 02 11 00 194  5.7  7.1 99.00 99.00 99.00 999 1019.1  29.2  30.2  24.0 99.0 99.00 
2016 09 02 11 10 190  5.6  7.3 99.00 99.00 99.00 999 1019.2  29.2  30.2  24.3 99.0 99.00 
2016 09 02 11 20 195  5.3  6.4 99.00 99.00 99.00 999 1019.3  29.2  30.2  24.0 99.0 99.00 
2016 09 02 11 30 197  5.1  6.2 99.00 99.00 99.00 999 1019.4  29.3  30.2  24.1 99.0 99.00 
2016 09 02 11 40 199  5.1  6.1  1.13 10.81  5.32  91 1019.4  29.3  30.2  23.9 99.0 99.00 
2016 09 02 11 50 188  5.2  6.6 99.00 99.00 99.00 999 1019.5  29.3  30.2  24.5 99.0 99.00 
2016 09 02 12 00 188  5.1  6.3 99.00 99.00 99.00 999 1019.5  29.3  30.2  24.1 99.0 99.00 
2016 09 02 12 10 187  5.0  6.3 99.00 99.00 99.00 999 1019.5  29.3  30.2  24.3 99.0 99.00 
2016 09 02 12 20 186  5.0  6.3 99.00 99.00 99.00 999 1019.4  29.2  30.2  24.2 99.0 99.00 
2016 09 02 12 30 186  5.1  6.5 99.00 99.00 99.00 999 1019.4  29.3  30.2  24.2 99.0 99.00 
2016 09 02 12 40 181  5.5  6.6  1.18  9.09  5.31  70 1019.4  29.3  30.2  24.2 99.0 99.00 
2016 09 02 12 50 179  5.8  7.1 99.00 99.00 99.00 999 1019.4  29.2  30.2  24.2 99.0 99.00 
2016 09 02 13 00 183  5.4  6.6 99.00 99.00 99.00 999 1019.6  29.2  30.2  24.2 99.0 99.00 
2016 09 02 13 10 184  5.3  6.6 99.00 99.00 99.00 999 1019.7  29.3  30.2  24.5 99.0 99.00 
2016 09 02 13 20 182  5.6  6.9 99.00 99.00 99.00 999 1019.8  29.2  30.2  24.3 99.0 99.00 
