#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2016 04 30 23 50  25  4.4  5.2  0.93  9.09  6.18 122 1017.7  23.3  24.4  19.8 99.0 99.00
2016 05 01 00 50  46  4.1  5.0  1.00  8.33  6.32  94 1018.2  23.2  24.3  19.6 99.0 99.00
2016 05 01 01 50  66  3.8  4.5  0.88  9.09  6.19 112 1018.3  23.2  24.3  19.5 99.0 99.00
2016 05 01 02 50  67  3.4  4.1  0.90  9.09  6.09 118 1017.9  23.0  24.3  19.4 99.0 99.00
2016 05 01 03 50  76  2.6  3.5  0.86  9.09  6.02 127 1017.4  23.0  24.3  19.7 99.0 99.00
2016 05 01 04 50  48  1.2  1.9  0.87  9.09  6.03 114 1017.2  22.9  24.2  19.3 99.0 99.00
2016 05 01 05 50 111  1.1  1.9  0.96  9.09  6.32 126 1016.4  22.9  24.2  19.2 99.0 99.00
2016 05 01 06 50  50  0.6  1.3  0.90  9.09  6.20 117 1016.7  22.7  24.1  19.2 99.0 99.00
2016 05 01 07 50   7  3.0  4.2  1.00  9.09  6.52 118 1017.0  22.8  24.1  19.5 99.0 99.00
2016 05 01 08 50 357  3.5  4.4  1.02  9.09  6.70  98 1017.2  22.7  24.1  19.2 99.0 99.00
2016 05 01 09 50   2  3.1  4.1  0.93  9.09  6.62 105 1017.8  22.7  24.0  18.9 99.0 99.00
2016 05 01 10 50  12  2.4  3.2  0.97  9.09  6.60 106 1018.8  23.0  24.0  18.4 99.0 99.00
2016 05 01 11 50 345  1.9  3.0  0.94 10.00  6.57  87 1019.1  23.0  23.9  17.9 99.0 99.00
2016 05 01 12 50   7  2.0  2.7  0.96  8.33  6.73 125 1019.3  23.1  24.0  18.4 99.0 99.00
2016 05 01 13 50 352  1.7  2.5  0.95  9.09  6.66 112 1019.5  23.1  24.3  18.2 99.0 99.00
2016 05 01 14 50  10  3.0  4.1  0.93  9.09  6.85 108 1019.9  23.0  24.4  18.3 99.0 99.00
2016 05 01 15 50  13  2.4  3.2  0.87  7.69  6.77 121 1019.4  23.1  24.8  18.4 99.0 99.00
2016 05 01 16 50   2  2.7  3.5  0.94  8.33  6.92  90 1018.9  23.0  24.9  18.1 99.0 99.00
2016 05 01 17 50 357  2.5  3.4  0.87  9.09  6.72 105 1018.7  23.2  25.0  17.2 99.0 99.00
2016 05 01 18 50  25  2.3  3.2  0.92  9.09  6.92 114 1018.5  23.2  25.1  17.6 99.0 99.00
2016 05 01 19 50  18  1.5  2.1  0.90  8.33  6.76 115 1018.5  23.4  25.2  16.7 99.0 99.00
2016 05 01 20 50   2  0.7  1.4  0.88  9.09  7.06 123 1018.5  23.8  25.1  16.0 99.0 99.00
2016 05 01 21 50   7  1.5  2.0  0.88  9.09  6.95 109 1018.5  23.8  25.1  16.4 99.0 99.00
2016 05 01 22 50 347  1.1  2.0  0.91  9.09  6.89 116 1019.1  23.3  24.9  17.1 99.0 99.00
2016 05 01 23 50 329  1.2  1.9  0.86  7.69  7.01  97 1020.0  23.2  24.6  17.6 99.0 99.00
2016 05 02 00 50 318  0.5  0.8  0.95  9.09  7.34  90 1020.5  23.1  24.6  17.9 99.0 99.00
