#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2016 08 31 23 50 196  4.6  5.6  0.78  9.09  5.40  79 1015.9  28.7  29.0  25.2 99.0 99.00
2016 09 01 00 50 191  4.5  5.9  0.77  8.33  5.47  95 1016.2  28.7  29.0  25.4 99.0 99.00
2016 09 01 01 50 163  4.4  5.1  0.76  9.09  5.41  91 1016.3  28.3  29.0  25.8 99.0 99.00
2016 09 01 02 50 175  4.1  4.9  0.73  8.33  4.93  88 1016.2  28.4  29.0  25.9 99.0 99.00
2016 09 01 03 50 191  5.1  5.8  0.75 10.00  5.34  94 1015.9  28.7  29.0  24.9 99.0 99.00
2016 09 01 04 50 201  5.4  6.6  0.74  9.09  5.08  75 1015.8  28.6  29.0  25.4 99.0 99.00
2016 09 01 05 50 201  5.1  6.3  0.82  9.09  5.12  77 1015.5  28.6  28.9  25.4 99.0 99.00
2016 09 01 06 50 206  5.8  7.2  0.79  8.33  4.78  97 1015.3  28.6  29.0  25.2 99.0 99.00
2016 09 01 07 50 212  5.0  6.4  0.92  5.56  5.09 330 1015.0  28.5  28.9  25.3 99.0 99.00
2016 09 01 08 50 211  5.5  6.3  0.91 10.00  4.93  75 1014.8  28.4  28.9  25.3 99.0 99.00
2016 09 01 09 50 219  6.0  7.0  0.87 10.00  4.93  69 1015.0  28.6  28.9  25.0 99.0 99.00
2016 09 01 10 50 210  5.1  6.0  0.94 10.00  5.15  75 1015.2  28.4  28.9  25.5 99.0 99.00
2016 09 01 11 50 201  6.4  8.0  0.92 10.00  5.11  64 1015.3  28.6  28.9  25.8 99.0 99.00
2016 09 01 12 50 201  6.4  7.6  0.98 10.00  5.33  86 1015.4  28.8  28.9  25.0 99.0 99.00
2016 09 01 13 50 217  7.2  8.5  0.85 10.00  4.80 106 1015.5  28.8  28.9  25.2 99.0 99.00
2016 09 01 14 50 212  6.3  7.9  0.98 10.00  5.06  69 1015.7  28.7  29.0  25.9 99.0 99.00
2016 09 01 15 50 221 12.9 15.7  0.96  9.09  4.88  54 1015.4  27.8  29.0  25.1 99.0 99.00
2016 09 01 16 50 232  7.7  9.3  1.15  4.55  4.51 236 1014.9  27.3  29.0  24.4 99.0 99.00
2016 09 01 17 50 210  7.1  8.5  1.13  5.00  4.73 245 1014.5  27.8  29.0  24.4 99.0 99.00
2016 09 01 18 50 213  8.2  9.8  1.14 10.00  5.08 351 1014.3  28.0  29.0  25.0 99.0 99.00
2016 09 01 19 50 215  9.2 10.7  1.24  5.26  4.92 280 1014.4  28.3  29.0  25.4 99.0 99.00
2016 09 01 20 50 214  8.5 10.5  1.33  5.00  4.86 256 1013.8  28.7  29.0  25.4 99.0 99.00
2016 09 01 21 50 223  9.1 11.9  1.38  5.26  4.90 256 1013.9  28.5  28.9  25.4 99.0 99.00
2016 09 01 22 50 243 10.1 11.8  1.67  6.25  5.20 267 1014.2  28.8  28.9  23.6 99.0 99.00
2016 09 01 23 50 233 10.5 13.6  1.63  6.25  5.21 278 1014.3  29.0  28.8  24.0 99.0 99.00
2016 09 02 00 50 224 11.0 13.4  1.91  6.67  5.40 274 1014.8  29.1  28.8  25.2 99.0 99.00
2016 09 02 01 50 234 11.5 14.4  2.33  7.14  5.72 283 1015.3  26.4  28.7  24.5 99.0 99.00
2016 09 02 02 50 230 13.4 16.5  2.72  7.69  6.16 286 1015.4  27.5  28.7  24.7 99.0 99.00
2016 09 02 03 50 232 10.4 12.4  3.10  7.69  6.68 279 1015.4  28.0  28.6  25.3 99.0 99.00
2016 09 02 04 50 222  8.8 10.3  3.17  9.09  6.78 288 1015.3  28.0  28.6  24.6 99.0 99.00
2016 09 02 05 50 243 10.2 12.9  3.76 10.81  7.48 303 1014.9  29.0  28.6  26.5 99.0 99.00
2016 09 02 06 50 256 11.9 14.8  3.89 10.00  7.43 302 1014.4  29.1  28.6  25.1 99.0 99.00
2016 09 02 07 50 257 10.4 14.2  3.51 10.81  7.34 295 1014.7  29.1  28.5  25.6 99.0 99.00
2016 09 02 08 50 259  9.6 12.0  3.42 10.00  7.41 295 1014.9  29.0  28.5  25.8 99.0 99.00
2016 09 02 09 50 311 12.6 15.3  3.47 10.00  7.28 292 1016.2  25.6  28.5  24.5 99.0 99.00
2016 09 02 10 50 272  8.2  9.8  3.06 10.00  6.66 279 1016.7  27.4  28.5  24.4 99.0 99.00
2016 09 02 11 50 287  6.3  8.1  2.83 10.00  6.69 288 1017.1  28.0  28.5  24.6 99.0 99.00
2016 09 02 12 50 282  4.7  6.1  2.61 10.00  6.73 274 1017.7  28.3  28.6  25.1 99.0 99.00
2016 09 02 13 50 253  3.7  4.9  2.22  7.14  6.57 272 1017.9  28.5  28.6  26.0 99.0 99.00
2016 09 02 14 50 250  5.0  6.1  1.99  8.33  6.44 285 1018.0  29.0  28.6  25.7 99.0 99.00
2016 09 02 15 50 235  5.2  6.6  1.91  8.33  6.58 273 1018.3  29.0  28.7  26.7 99.0 99.00
2016 09 02 16 50 236  5.5  6.4  1.78  9.09  6.38 284 1018.1  29.0  28.8  26.7 99.0 99.00
2016 09 02 17 50 227  5.5  7.0  1.78  9.09  6.24 276 1017.9  29.1  28.9  26.7 99.0 99.00
2016 09 02 18 50 251  8.7 10.6  1.58  8.33  6.07 280 1017.6  28.5  28.9  25.2 99.0 99.00
2016 09 02 19 50 214  4.2  5.1  1.75  8.33  6.17 280 1017.5  28.2  28.8  25.5 99.0 99.00
2016 09 02 20 50 218  3.5  4.2  1.72  8.33  6.18 274 1017.6  29.0  28.9  24.8 99.0 99.00
2016 09 02 21 50 212  4.3  5.3  1.63  7.69  6.07 280 1017.8  28.9  28.9  26.3 99.0 99.00
2016 09 02 22 50 222  4.4  5.5  1.63  7.69  6.00 283 1017.7  29.0  28.8  27.0 99.0 99.00
2016 09 02 23 50 218  3.9  4.7  1.62  8.33  6.03 292 1018.2  29.0  28.8  27.4 99.0 99.00
2016 09 03 00 50 210  4.8  5.6  1.55  7.69  5.85 286 1018.5  29.0  28.8  27.2 99.0 99.00
2016 09 03 01 50 202  5.2  6.3  1.47  7.69  5.84 295 1018.7  28.9  28.8  26.2 99.0 99.00
2016 09 03 02 50 205  4.5  5.6  1.50  7.14  5.62 284 1018.8  28.9  28.8  27.3 99.0 99.00
2016 09 03 03 50 213  4.2  5.0  1.46  7.14  5.66 292 1018.8  28.9  28.7  27.2 99.0 99.00
2016 09 03 04 50 201  4.1  5.1  1.42  7.14  5.57 278 1018.3  28.9  28.7  27.1 99.0 99.00
2016 09 03 05 50 196  5.4  6.6  1.40  6.67  5.67 282 1017.8  28.8  28.7  27.1 99.0 99.00
2016 09 03 06 50 211  5.5  6.5  1.44  6.67  5.60 281 1017.9  28.8  28.7  27.0 99.0 99.00
2016 09 03 07 50 207  5.9  6.9  1.34  7.14  5.57 282 1017.3  28.8  28.7  26.7 99.0 99.00
2016 09 03 08 50 195  5.9  7.3  1.34  6.67  5.49 287 1017.1  28.8  28.7  26.5 99.0 99.00
2016 09 03 09 50 200  5.8  6.9  1.26  7.14  5.45 282 1017.4  28.7  28.7  26.2 99.0 99.00
2016 09 03 10 50 202  6.3  7.0  1.18  6.67  5.49 281 1017.9  28.8  28.7  26.2 99.0 99.00
2016 09 03 11 50 196  6.3  7.4  1.14  7.14  5.38 241 1018.0  28.8  28.7  26.3 99.0 99.00
2016 09 03 12 50 190  5.7  6.6  1.18  6.67  5.72 253 1018.3  28.9  28.7  26.3 99.0 99.00
2016 09 03 13 50 196  6.6  7.5  1.14  6.67  5.56 245 1018.3  29.0  28.7  25.9 99.0 99.00
2016 09 03 14 50 211  6.9  8.6  1.13  5.88  5.39 238 1018.5  29.1  28.7  26.0 99.0 99.00
2016 09 03 15 50 205  7.1  8.4  1.20  6.67  5.25 239 1018.1  29.1  28.8  25.5 99.0 99.00
2016 09 03 16 50 198  7.3  8.5  1.21  6.67  5.27 253 1017.8  29.2  28.8  25.7 99.0 99.00
2016 09 03 17 50 208  8.3 10.0  1.28  6.67  5.38 256 1017.5  29.2  28.8  25.8 99.0 99.00
2016 09 03 18 50 208  8.3 10.0  1.34  6.67  5.30 253 1016.8  29.2  28.8  25.8 99.0 99.00
2016 09 03 19 50 206  8.6 10.9  1.56  6.67  5.70 262 1016.4  29.3  28.8  26.0 99.0 99.00
2016 09 03 20 50 218  9.0 10.9  2.27 12.12  6.92 299 1016.5  29.4  28.8  25.4 99.0 99.00
2016 09 03 21 50 218  9.4 11.6  2.78 12.90  7.54 294 1016.4  29.3  28.8  25.6 99.0 99.00
2016 09 03 22 50 215  9.4 11.3  3.31 12.12  8.09 298 1016.4  29.2  28.8  26.0 99.0 99.00
2016 09 03 23 50 216  9.8 12.2  4.00 11.43  8.16 301 1016.7  29.2  28.8  25.7 99.0 99.00
2016 09 04 00 50 220  9.4 12.0  4.33 12.12  8.46 297 1017.2  29.2  28.8  25.7 99.0 99.00
2016 09 04 01 50 216  9.4 11.7  4.00 11.43  7.97 302 1017.2  29.2  28.8  25.7 99.0 99.00
2016 09 04 02 50 216  9.5 11.4  4.05 11.43  8.05 298 1016.8  29.1  28.8  25.6 99.0 99.00
2016 09 04 03 50 218  9.3 10.9  3.67  9.09  7.55 287 1016.8  29.0  28.7  25.9 99.0 99.00
2016 09 04 04 50 222 10.3 12.2  3.76 11.43  7.77 293 1016.7  29.1  28.7  25.3 99.0 99.00
2016 09 04 05 50 222 10.6 13.1  3.65 11.43  7.67 304 1016.2  29.1  28.7  25.3 99.0 99.00
2016 09 04 06 50 221  9.9 12.5  3.10 11.43  7.11 305 1016.1  29.0  28.7  25.7 99.0 99.00
2016 09 04 07 50 220  9.7 11.4  3.19 10.81  7.05 296 1016.2  28.9  28.7  25.9 99.0 99.00
2016 09 04 08 50 227  9.8 12.1  2.85 10.00  6.75 305 1016.1  29.0  28.7  25.7 99.0 99.00
2016 09 04 09 50 253  9.1 11.3  2.65 11.43  6.68 301 1016.6  27.8  28.7  23.6 99.0 99.00
2016 09 04 10 50 261  7.5 10.8  2.70 11.43  6.91 285 1016.7  27.9  28.6  25.8 99.0 99.00
2016 09 04 11 50 244  9.6 11.7  2.69 11.43  7.20 324 1016.8  28.4  28.6  23.5 99.0 99.00
2016 09 04 12 50 247  9.0 10.6  2.63 11.43  6.88 301 1017.0  28.5  28.6  24.9 99.0 99.00
2016 09 04 13 50 251  8.3 10.0  2.53 10.81  7.04 315 1017.5  28.6  28.6  25.5 99.0 99.00
2016 09 04 14 50 241 10.1 12.6  2.56 10.81  6.95 312 1017.4  27.8  28.6  24.5 99.0 99.00
2016 09 04 15 50 244  8.6 10.4  2.66 10.81  7.18 328 1017.3  28.3  28.6  23.9 99.0 99.00
2016 09 04 16 50 253  8.3  9.8  2.66 10.00  7.60 315 1016.9  28.5  28.6  23.9 99.0 99.00
2016 09 04 17 50 271  6.5  8.7  2.37 10.81  6.91 313 1016.7  27.2  28.6  24.8 99.0 99.00
2016 09 04 18 50 271  8.3  9.8  2.47 10.00  7.03 324 1015.9  28.3  28.6  23.7 99.0 99.00
2016 09 04 19 50 279  7.6  9.3  2.51 10.00  6.95 330 1015.6  28.3  28.6  23.4 99.0 99.00
2016 09 04 20 50 273  7.1  8.7  2.40  7.14  6.61 289 1015.5  28.3  28.6  23.5 99.0 99.00
2016 09 04 21 50 278  7.6  9.4  2.25 10.00  6.78 322 1015.5  28.2  28.6  23.2 99.0 99.00
2016 09 04 22 50 278  7.1  8.6  2.36  7.14  6.66 297 1015.6  28.0  28.6  23.0 99.0 99.00
2016 09 04 23 50 265  6.5  7.7  2.39  7.14  6.88 305 1016.0  28.0  28.6  23.2 99.0 99.00
2016 09 05 00 50 274  6.1  7.8  2.36 10.81  6.76 337 1016.3  27.9  28.6  23.0 99.0 99.00
2016 09 05 01 50 259  6.6  7.6  2.54  7.14  6.80 313 1016.5  28.0  28.6  22.6 99.0 99.00
2016 09 05 02 50 251  6.2  7.6  2.32 10.00  6.72 345 1016.5  27.9  28.5  22.6 99.0 99.00
2016 09 05 03 50 247  5.9  7.1  2.45 10.00  6.75 342 1016.5  27.9  28.5  23.1 99.0 99.00
2016 09 05 04 50 246  5.7  6.6  2.16 10.00  6.64 339 1016.3  27.8  28.5  23.0 99.0 99.00
2016 09 05 05 50 243  5.9  8.2  2.27 10.81  7.02 346 1016.1  27.8  28.5  22.8 99.0 99.00
2016 09 05 06 50 238  6.1  7.4  2.12 10.00  6.69 352 1015.9  27.8  28.5  23.0 99.0 99.00
2016 09 05 07 50 239  6.1  7.5  2.06  8.33  6.74 341 1015.9  27.9  28.5  22.3 99.0 99.00
2016 09 05 08 50 235  5.4  6.7  2.09  9.09  6.83 360 1015.9  27.9  28.5  22.3 99.0 99.00
