#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2016 04 30 23 50  54  6.6  8.2  1.41  9.09  6.09  36 1018.9  21.4  23.2  17.2 99.0 99.00
2016 05 01 00 50  57  7.5  8.9  1.36  8.33  5.75  41 1019.2  21.4  23.2  17.4 99.0 99.00
2016 05 01 01 50  63  8.2  9.7  1.48  8.33  5.66  32 1019.9  21.5  23.1  17.6 99.0 99.00
2016 05 01 02 50  70  7.8  9.1  1.54  9.09  5.91  35 1020.5  21.4  23.2  17.6 99.0 99.00
2016 05 01 03 50  75  7.8  8.7  1.54  8.33  5.57  24 1020.3  21.6  23.2  18.2 99.0 99.00
2016 05 01 04 50  78  6.9  7.9  1.48 10.00  5.55  20 1020.5  21.6  23.2  18.1 99.0 99.00
2016 05 01 05 50  84  7.0  8.7  1.63  8.33  5.83  20 1019.9  21.7  23.2  17.6 99.0 99.00
2016 05 01 06 50  87  6.5  7.6  1.62 10.00  5.90  12 1019.8  21.8  23.2  17.7 99.0 99.00
2016 05 01 07 50  85  6.0  7.4  1.73  9.09  6.26  24 1019.7  21.8  23.2  17.1 99.0 99.00
2016 05 01 08 50  97  6.9  8.3  1.74  9.09  6.32  20 1019.3  21.9  23.2  17.3 99.0 99.00
2016 05 01 09 50  97  6.8  8.0  1.57  9.09  5.95  21 1019.3  21.8  23.2  17.3 99.0 99.00
2016 05 01 10 50  94  5.8  7.5  1.54 10.00  6.30   9 1020.0  21.7  23.2  17.4 99.0 99.00
2016 05 01 11 50 101  5.4  6.2  1.47 12.12  6.15 356 1020.3  21.8  23.2  17.4 99.0 99.00
2016 05 01 12 50 105  5.8  7.5  1.36  9.09  6.10  11 1020.4  21.8  23.2  17.8 99.0 99.00
2016 05 01 13 50 112  6.1  7.1  1.34  9.09  5.91  22 1020.7  22.0  23.2  18.1 99.0 99.00
2016 05 01 14 50 118  6.7  8.5  1.32 11.43  6.06 357 1020.6  22.1  23.2  18.3 99.0 99.00
2016 05 01 15 50 125  6.3  7.3  1.32 10.81  5.90 355 1020.7  22.3  23.3  18.3 99.0 99.00
2016 05 01 16 50 132  6.1  7.2  1.36 10.00  6.02  15 1020.5  22.4  23.3  18.4 99.0 99.00
2016 05 01 17 50 137  5.4  6.7  1.35 10.00  6.22  10 1020.7  22.4  23.5  18.4 99.0 99.00
2016 05 01 18 50 138  4.9  5.8  1.31 10.00  5.92   8 1020.6  22.5  23.4  18.5 99.0 99.00
2016 05 01 19 50 138  3.5  4.3  1.24  9.09  5.94  15 1020.3  22.6  23.6  18.4 99.0 99.00
2016 05 01 20 50 144  3.9  4.9  1.34 10.00  6.71  14 1020.0  22.6  23.7  18.6 99.0 99.00
2016 05 01 21 50 138  3.8  4.8  1.30 10.81  6.65  14 1019.8  22.6  23.6  18.5 99.0 99.00
2016 05 01 22 50 131  4.2  4.9  1.34  9.09  6.83   8 1019.9  22.6  23.6  18.9 99.0 99.00
2016 05 01 23 50 127  4.0  5.0  1.35 10.00  7.08  19 1020.5  22.6  23.5  19.3 99.0 99.00
2016 05 02 00 50 136  4.5  5.3  1.25 10.81  6.68   1 1020.8  22.5  23.4  19.4 99.0 99.00
2016 05 02 01 50 135  5.8  6.8  1.19 10.00  6.52  12 1020.8  22.5  23.4  19.5 99.0 99.00
2016 05 02 02 50 142  6.5  7.4  1.15  9.09  6.19  20 1020.6  22.6  23.4  19.7 99.0 99.00
2016 05 02 03 50 137  6.9  8.0  1.14  9.09  5.84  30 1020.3  22.6  23.4  19.7 99.0 99.00
2016 05 02 04 50 142  7.2  8.2  1.09 10.00  5.50  13 1019.7  22.6  23.4  19.9 99.0 99.00
2016 05 02 05 50 147  6.9  8.0  1.05  8.33  5.22  25 1019.5  22.5  23.4  19.9 99.0 99.00
2016 05 02 06 50 149  5.7  6.6  1.08 10.00  5.39   4 1019.4  22.6  23.3  20.0 99.0 99.00
2016 05 02 07 50 147  5.6  6.7  1.04 10.00  5.19  32 1018.9  22.6  23.3  20.1 99.0 99.00
2016 05 02 08 50 149  5.9  6.8  1.12  9.09  5.41  30 1018.9  22.6  23.2  20.1 99.0 99.00
2016 05 02 09 50 149  5.3  6.1  1.02 10.00  5.44  15 1019.2  22.7  23.2  19.9 99.0 99.00
2016 05 02 10 50 145  4.6  5.7  0.93 10.00  5.18  20 1019.7  22.8  23.3  20.5 99.0 99.00
2016 05 02 11 50 143  3.6  4.1  0.96  9.09  5.18  34 1020.3  22.8  23.3  20.3 99.0 99.00
2016 05 02 12 50 136  3.9  4.7  0.90  9.09  5.14  33 1020.7  23.0  23.3  20.6 99.0 99.00
2016 05 02 13 50 156  4.0  5.1  0.92 10.00  5.32  33 1020.9  23.0  23.4  20.8 99.0 99.00
2016 05 02 14 50 158  5.6  6.4  0.93 10.00  5.66  27 1021.0  23.2  23.5  20.6 99.0 99.00
2016 05 02 15 50 161  5.4  6.5  0.94 10.00  5.91  43 1020.9  23.3  23.6  20.5 99.0 99.00
2016 05 02 16 50 161  5.6  6.5  0.95  9.09  5.68  36 1020.5  23.4  23.7  20.7 99.0 99.00
2016 05 02 17 50 163  5.8  7.0  0.99 11.43  5.63  41 1020.1  23.4  23.7  20.8 99.0 99.00
2016 05 02 18 50 169  5.5  6.4  1.05 11.43  6.10  36 1019.6  23.5  23.8  20.6 99.0 99.00
2016 05 02 19 50 168  5.8  6.7  1.12 10.81  6.06  33 1019.0  23.5  23.9  20.9 99.0 99.00
2016 05 02 20 50 172  5.9  7.0  0.97 11.43  5.39  45 1018.6  23.5  23.8  20.9 99.0 99.00
2016 05 02 21 50 169  6.2  7.4  1.10 11.43  5.77  29 1018.2  23.5  23.8  20.7 99.0 99.00
2016 05 02 22 50 161  7.3  9.1  1.09 10.81  5.55  31 1017.9  23.4  23.7  20.6 99.0 99.00
2016 05 02 23 50 161  6.9  7.8  1.22 10.81  5.77  27 1018.3  23.4  23.7  20.7 99.0 99.00
2016 05 03 00 50 155  6.5  7.5  1.18 10.81  5.75  35 1018.5  23.4  23.7  20.8 99.0 99.00
2016 05 03 01 50 152  6.9  8.3  1.23 10.00  5.66  32 1019.0  23.3  23.6  20.8 99.0 99.00
2016 05 03 02 50 155  7.5  8.8  1.20 10.81  5.48  36 1019.4  23.3  23.6  20.6 99.0 99.00
2016 05 03 03 50 160  7.7  9.1  1.24 10.00  5.15  33 1019.1  23.3  23.5  20.5 99.0 99.00
2016 05 03 04 50 157  8.2  9.6  1.33 10.00  5.55  40 1018.3  23.1  23.5  20.4 99.0 99.00
2016 05 03 05 50 158  7.5  8.6  1.24 10.00  5.09  43 1017.1  23.1  23.5  20.7 99.0 99.00
2016 05 03 06 50 157  8.5 10.3  1.18 10.00  4.64  42 1016.5  23.1  23.5  20.7 99.0 99.00
2016 05 03 07 50 158  8.8 10.2  1.23 10.00  4.76  42 1015.7  23.1  23.5  20.7 99.0 99.00
2016 05 03 08 50 157  8.6 10.4  1.17  9.09  4.54  66 1015.4  23.1  23.5  20.7 99.0 99.00
2016 05 03 09 50 164  8.9 10.6  1.19  4.17  4.43 144 1015.4  23.3  23.5  20.9 99.0 99.00
2016 05 03 10 50 166  8.5 10.5  1.15  9.09  4.39  51 1015.5  23.2  23.5  21.0 99.0 99.00
2016 05 03 11 50 168  8.2  9.5  1.25  4.76  4.58 146 1015.6  23.3  23.4  21.0 99.0 99.00
2016 05 03 12 50 177  8.1  9.9  1.23  5.00  4.40 146 1015.8  23.3  23.4  21.3 99.0 99.00
2016 05 03 14 50 180  8.5 10.1  1.31  5.00  4.60 154 1015.6  23.4  23.5  21.5 99.0 99.00
2016 05 03 15 50 179  7.9  9.2  1.29  5.56  4.44 159 1015.2  23.4  23.5  21.6 99.0 99.00
2016 05 03 16 50 183  7.5  8.5  1.24  5.26  4.56 156 1015.1  23.4  23.5  21.6 99.0 99.00
2016 05 03 17 50 176  7.7  9.6  1.30  5.26  4.68 153 1014.2  23.4  23.5  21.4 99.0 99.00
2016 05 03 18 50 174  8.8 10.5  1.34  5.56  4.67 169 1013.4  23.5  23.5  21.5 99.0 99.00
2016 05 03 19 50 181  8.2 10.0  1.26  5.88  4.75 151 1013.1  23.5  23.5  21.7 99.0 99.00
2016 05 03 20 50 307  6.2  9.6  1.14  5.56  4.63 205 1013.4  19.7  23.4  18.5 99.0 99.00
2016 05 03 21 50  23  2.2  3.4  1.15  5.88  5.05 194 1013.1  19.3  23.1  18.7 99.0 99.00
2016 05 03 22 50  17  4.9  7.8  1.15  6.25  5.14 186 1012.8  20.7  23.2  19.9 99.0 99.00
2016 05 03 23 50  37  2.0  3.2  1.23  6.25  5.16 181 1012.7  20.4  23.3  19.1 99.0 99.00
2016 05 04 00 50 149  4.8  6.5  1.32  6.67  5.22 184 1012.3  22.7  23.1  20.9 99.0 99.00
2016 05 04 01 50 175  8.7 10.9  1.33  5.88  5.13 165 1011.7  23.5  23.2  22.3 99.0 99.00
2016 05 04 02 50 171  7.1  8.9  1.48  6.25  5.00 160 1011.9  23.4  23.2  22.0 99.0 99.00
2016 05 04 03 50 172  6.3  7.7  1.54  6.67  5.32 214 1011.6  23.2  23.2  22.4 99.0 99.00
2016 05 04 04 50 181  8.2  9.6  1.59  5.88  5.41 195 1010.9  22.9  23.2  21.6 99.0 99.00
2016 05 04 05 50 187  8.8 10.2  1.71  6.67  5.23 199 1010.0  23.0  23.2  20.7 99.0 99.00
2016 05 04 06 50 188  8.7 10.2  1.64  5.88  5.07 180 1009.2  22.8  23.3  20.9 99.0 99.00
2016 05 04 07 50 200  7.2  9.2  1.65  7.14  5.00 235 1008.8  22.8  23.3  21.1 99.0 99.00
2016 05 04 08 50 207  7.4  9.4  1.62  6.67  5.22 221 1008.5  22.8  23.3  21.3 99.0 99.00
2016 05 04 09 50 223  7.0  8.3  1.65  7.14  5.18 240 1009.1  22.9  23.3  21.6 99.0 99.00
2016 05 04 10 50 215  6.7  7.9  1.69  5.88  5.25 186 1009.5  23.0  23.4  21.9 99.0 99.00
2016 05 04 11 50 295 12.3 14.6  1.57  6.67  5.12 260 1009.7  20.0  23.2  19.7 99.0 99.00
2016 05 04 12 50 304  2.6  4.3  1.48  6.25  5.05 250 1009.4  20.7  23.0  17.2 99.0 99.00
2016 05 04 13 50 142  4.5  5.5  1.41  7.14  5.35 234 1007.6  21.5  23.1  17.8 99.0 99.00
2016 05 04 14 50 141  6.2  7.1  1.43  7.14  5.51 231 1007.4  22.2  23.1  18.6 99.0 99.00
2016 05 04 15 50 155  7.8  9.0  1.52  6.25  5.35 238 1007.9  22.4  23.2  19.1 99.0 99.00
2016 05 04 16 50 153  8.4 10.6  1.55  7.14  5.12 215 1007.7  22.4  23.2  19.9 99.0 99.00
2016 05 04 17 50 139  4.9  6.1  1.42  6.67  5.12 235 1007.3  22.2  23.2  20.1 99.0 99.00
2016 05 04 18 50 145  6.4  8.9  1.54  6.67  5.26 178 1006.1  22.7  23.2  20.9 99.0 99.00
2016 05 04 19 50 161  7.1  8.9  1.50  6.67  5.07 185 1004.8  23.3  23.2  21.3 99.0 99.00
2016 05 04 20 50 184 11.6 14.1  1.50  6.67  4.98 175 1003.7  23.4  23.2  21.4 99.0 99.00
2016 05 04 21 50 207  8.3 10.3  1.52  6.67  4.82 210 1003.7  23.8  23.1  21.2 99.0 99.00
2016 05 04 22 50 173  9.1 11.1  1.55  7.14  5.01 224 1004.3  23.5  23.1  22.5 99.0 99.00
2016 05 04 23 50 191  8.9 10.8  1.51  6.67  4.80 217 1004.2  23.6  23.1  22.5 99.0 99.00
2016 05 05 00 50 194  9.2 11.0  1.45  6.25  4.64 205 1004.3  23.4  23.1  22.4 99.0 99.00
2016 05 05 01 50 199  8.9 10.9  1.50  5.88  4.73 197 1004.2  23.5  23.1  22.1 99.0 99.00
2016 05 05 02 50 237  8.6 10.3  1.50  5.88  4.81 223 1003.4  23.5  23.1  20.2 99.0 99.00
2016 05 05 03 50 196  6.4  7.8  1.53  6.67  4.90 172 1003.8  23.2  23.1  20.9 99.0 99.00
2016 05 05 04 50 199  8.9 11.2  1.76  6.67  5.27 163 1004.2  22.8  23.0  17.7 99.0 99.00
2016 05 05 05 50 173  7.4  9.0  1.77  6.25  5.20 191 1002.1  21.9  23.0  18.0 99.0 99.00
2016 05 05 06 50 163  8.6 10.2  1.62  7.14  5.18 182 1000.0  22.5  23.0  18.5 99.0 99.00
2016 05 05 07 50 169  8.3 10.1  1.76  6.67  5.35 198  999.5  22.4  23.0  18.7 99.0 99.00
2016 05 05 08 50 170  6.4  7.3  1.60  6.67  5.07 187  999.1  22.3  23.0  19.4 99.0 99.00
2016 05 05 09 50 292  8.3 11.9  1.74  6.25  5.52 194  998.6  19.7  23.0  18.4 99.0 99.00
2016 05 05 10 50 344  7.1  9.2  1.69  7.14  5.38 252  998.8  19.7  23.0  17.7 99.0 99.00
2016 05 05 11 50  10  5.5  6.7  1.64  6.67  5.51 227  998.2  19.7  22.9  16.8 99.0 99.00
2016 05 05 12 50 331  2.1  3.0  1.49  6.67  5.47 225  999.3  20.4  23.0  16.6 99.0 99.00
2016 05 05 13 50 264  5.6  7.0  1.42  7.14  5.56 243 1000.1  21.0  23.0  17.1 99.0 99.00
2016 05 05 14 50 227  5.8  7.2  1.47  7.14  5.64 245 1000.4  21.5  23.0  17.8 99.0 99.00
2016 05 05 15 50 219  7.2  8.6  1.78  8.33  6.14 237 1000.8  21.8  23.1  18.4 99.0 99.00
2016 05 05 16 50 265 10.9 13.3  1.86  8.33  5.91 255 1000.3  23.1  23.3  15.5 99.0 99.00
2016 05 05 17 50 262 10.1 12.1  1.92  7.69  5.59 253 1000.8  22.9  23.3  15.2 99.0 99.00
2016 05 05 18 50 248  9.7 11.7  2.20  8.33  5.72 253 1001.1  22.9  23.4  14.4 99.0 99.00
2016 05 05 19 50 237  9.1 11.0  2.14  7.69  5.64 254 1001.1  23.1  23.4  15.7 99.0 99.00
2016 05 05 20 50 222  9.8 12.0  2.40  8.33  5.86 249 1000.9  23.0  23.4  16.2 99.0 99.00
2016 05 05 21 50 256 12.5 14.8  2.37  8.33  5.76 239 1000.8  22.8  23.4  16.2 99.0 99.00
2016 05 05 22 50 257 12.8 15.8  2.71  8.33  6.01 260 1001.5  22.4  23.3  14.5 99.0 99.00
2016 05 05 23 50 259 12.7 15.7  3.06  8.33  6.15 249 1002.6  21.8  23.3  12.7 99.0 99.00
2016 05 06 00 50 264 10.7 13.8  3.25  8.33  6.51 252 1004.0  21.6  23.2  11.9 99.0 99.00
2016 05 06 01 50 257 10.3 13.0  3.15  8.33  6.41 251 1004.9  21.6  23.2  11.4 99.0 99.00
2016 05 06 02 50 256  9.8 11.8  3.06  8.33  6.41 256 1005.2  21.8  23.2  11.2 99.0 99.00
2016 05 06 03 50 252 10.3 11.9  2.92  8.33  6.39 250 1005.3  21.9  23.2  10.8 99.0 99.00
2016 05 06 04 50 250  9.2 10.9  2.89  9.09  6.49 212 1005.3  22.0  23.1  11.1 99.0 99.00
2016 05 06 05 50 252  9.1 11.1  3.18  7.69  6.87 235 1005.1  21.9  23.1  11.3 99.0 99.00
2016 05 06 06 50 285  6.5  7.8  2.80  9.09  6.60 258 1004.9  21.1  23.1  13.8 99.0 99.00
2016 05 06 07 50 294  7.0  8.8  2.53  8.33  6.35 256 1005.2  20.1  23.0  13.7 99.0 99.00
2016 05 06 08 50 266  4.8  6.6  2.55  9.09  6.42 258 1005.3  20.7  23.0  12.7 99.0 99.00
2016 05 06 09 50 285  7.9  9.8  2.39  7.69  6.36 232 1006.0  20.1  22.9  13.6 99.0 99.00
2016 05 06 10 50 290  5.2  6.9  2.61  9.09  6.78 256 1006.8  19.7  22.8  12.5 99.0 99.00
2016 05 06 11 50 238  3.1  4.8  2.59  7.14  6.69 249 1007.4  20.1  22.8  12.6 99.0 99.00
2016 05 06 12 50 275  6.2  9.8  2.28  9.09  6.81 231 1007.7  20.9  22.8  12.9 99.0 99.00
2016 05 06 14 50 234  6.6  8.5  2.71  9.09  6.67 253 1008.2  21.1  22.8  12.5 99.0 99.00
2016 05 06 15 50 294  6.2  8.0  2.70  8.33  6.67 258 1008.7  20.0  22.8  13.8 99.0 99.00
2016 05 06 16 50 203  8.4 10.9  2.37  9.09  6.42 249 1008.2  21.4  22.8  13.2 99.0 99.00
